"id","order_no","one_id","transaction_time","store_ou_code","store_ou_name","order_type","amount","give_points","pay_points","is_hn","is_on_line","area_type"
91491919,LF1297551510145598842,"4502266",2024-03-31 03:21:46,"5234B",浙江,销售订单,901.00,,0.00,海南岛外,线上,境内
91493455,LF1297589962853666622,"4502266",2024-03-31 03:59:57,"5234B",浙江,销售订单,219.00,,0.00,海南岛外,线上,境内
91494223,"240331123501020097296659","10517380",2024-03-31 04:36:29,"5234D",黑龙江,销售订单,4843.59,48.00,0.00,海南岛外,线下,境内
91518287,LF1298121138236607942,"10609395",2024-03-31 12:47:42,"5234B",浙江,销售订单,248.90,,29.00,海南岛外,线上,境内
91784686,LF1297564763307380522,"12293735",2024-03-31 03:35:00,"5234B",浙江,销售订单,139.00,,0.00,海南岛外,线上,境内
91803500,LF1296937448940588772,"19940339",2024-03-30 17:11:51,"5234B",浙江,销售订单,247.95,,0.00,海南岛外,线上,境内
91962062,LF1297290576957361892,"11174925",2024-03-30 23:02:34,"5234B",浙江,销售订单,584.25,,12.00,海南岛外,线上,境内
91997646,"701824033118505030140600","19542504",2024-03-31 10:51:04,"7018",四川,销售订单,1498.40,15.00,0.00,海南岛内,线上,境内
92007630,"117118976421007844853","26442309",2024-03-31 15:07:44,"7017",北京,销售订单,249.00,,0.00,海南岛内,线上,境内
92552943,"240331064801390036114198","33399909",2024-03-30 22:49:03,"5234D",黑龙江,销售订单,151.05,2.00,0.00,海南岛外,线下,境内
92553199,"240331070401390036921380","33399909",2024-03-30 23:04:49,"5234D",黑龙江,销售订单,262.20,4.00,0.00,海南岛外,线下,境内
92554735,"240331083101390035205767","33399909",2024-03-31 00:32:57,"5234D",黑龙江,销售订单,541.50,8.00,0.00,海南岛外,线下,境内
92555759,"240331083800990014522342","33399909",2024-03-31 00:40:00,"5234D",黑龙江,销售订单,387.60,6.00,0.00,海南岛外,线下,境内
92565487,"240331121600970049254651","33399909",2024-03-31 04:17:18,"5234D",黑龙江,销售订单,653.60,10.00,0.00,海南岛外,线下,境内
92576239,"240331152501270030924224","33399909",2024-03-31 07:25:56,"5234D",黑龙江,销售订单,157.70,2.00,0.00,海南岛外,线下,境内
92577007,"240331152801020097296717","33399909",2024-03-31 07:29:50,"5234D",黑龙江,销售订单,316.35,5.00,0.00,海南岛外,线下,境内
92585548,LF1297375131273875262,"11131616",2024-03-31 00:26:51,"5234B",浙江,销售订单,401.00,,394.00,海南岛外,线上,境内
92586828,LF1297455883369926462,"19884734",2024-03-31 01:46:48,"5234B",浙江,销售订单,1604.55,,0.00,海南岛外,线上,境内
92589039,"240331183201020097296788","33399909",2024-03-31 10:33:31,"5234D",黑龙江,销售订单,153.90,2.00,0.00,海南岛外,线下,境内
92589551,"240331183701270030685921","33399909",2024-03-31 10:37:49,"5234D",黑龙江,销售订单,463.60,7.00,0.00,海南岛外,线下,境内
92593391,"117118852074145232691","30629263",2024-03-31 11:41:31,"7017",北京,销售订单,562.40,,0.00,海南岛内,线上,境内
92599791,"240331222201240041142399","33399909",2024-03-31 14:25:26,"5234D",黑龙江,销售订单,1071.60,16.00,0.00,海南岛外,线下,境内
92601583,"240331231501020097109718","33399909",2024-03-31 15:16:28,"5234D",黑龙江,销售订单,722.00,11.00,0.00,海南岛外,线下,境内
92611183,LF1297819897954618822,"27136608",2024-03-31 07:48:25,"5234B",浙江,销售订单,807.75,,0.00,海南岛外,线上,境内
92697102,"392681706543","26386858",2024-03-31 01:08:45,"7069",辽宁,销售订单,154.00,,0.00,海南岛外,线上,境外
92697870,"392666436543","26386858",2024-03-31 01:27:10,"7069",辽宁,销售订单,231.00,,0.00,海南岛外,线上,境外
92728334,"6451240331193738892","19972648",2024-03-31 11:37:54,"6132",湖南,销售订单,626.00,6.00,0.00,海南岛内,线下,境内
92730894,LF1298107295691001662,"7636451",2024-03-31 12:33:52,"5234B",浙江,销售订单,552.05,,0.00,海南岛外,线上,境内
93092208,"117118928132438256020","26663708",2024-03-31 13:47:13,"7017",北京,销售订单,290.00,,0.00,海南岛内,线上,境内
93295597,"117118512569599282550","33292404",2024-03-31 02:19:50,"7017",北京,销售订单,2347.20,,14.00,海南岛内,线上,境内
93295853,"117118513024056217475","33291832",2024-03-31 02:25:00,"7017",北京,销售订单,2716.80,,14.00,海南岛内,线上,境内
93313517,"117118703004856053321","11496608",2024-03-31 07:33:26,"7017",北京,销售订单,449.00,,0.00,海南岛内,线上,境内
93323501,"240331185601020097296801","3820242",2024-03-31 10:57:17,"5234D",黑龙江,销售订单,1397.45,21.00,0.00,海南岛外,线下,境内
93323757,"240331190401260030270552","3820242",2024-03-31 11:06:24,"5234D",黑龙江,销售订单,354.35,5.00,0.00,海南岛外,线下,境内
93330060,LF1298221238153465662,"10361836",2024-03-31 14:27:22,"5234B",浙江,销售订单,566.53,,0.00,海南岛外,线上,境内
93394192,"117118485570914975157","7822397",2024-03-31 01:30:10,"7017",北京,销售订单,45.00,,0.00,海南岛内,线上,境内
93394704,"117118485530914973621","7822397",2024-03-31 01:30:32,"7017",北京,销售订单,898.00,,0.00,海南岛内,线上,境内
93394960,"117118485490914978239","7822397",2024-03-31 01:30:48,"7017",北京,销售订单,510.00,,0.00,海南岛内,线上,境内
93395216,"117118485450914977527","7822397",2024-03-31 01:30:59,"7017",北京,销售订单,350.00,,0.00,海南岛内,线上,境内
93395472,"117118486990914978743","7822397",2024-03-31 01:31:56,"7017",北京,销售订单,155.00,,0.00,海南岛内,线上,境内
93395728,"117118487030914971683","7822397",2024-03-31 01:32:07,"7017",北京,销售订单,158.00,,0.00,海南岛内,线上,境内
93395984,"117118486930914979205","7822397",2024-03-31 01:32:18,"7017",北京,销售订单,249.00,,0.00,海南岛内,线上,境内
93397520,LF1297477541917150662,"19354769",2024-03-31 02:08:29,"5234B",浙江,销售订单,224.50,,0.00,海南岛外,线上,境内
93415696,"240331153200990014522623","10537082",2024-03-31 07:34:01,"5234D",黑龙江,销售订单,1952.73,23.00,0.00,海南岛外,线下,境内
93416720,"240331154800970049582739","10537082",2024-03-31 07:49:54,"5234D",黑龙江,销售订单,141.12,2.00,0.00,海南岛外,线下,境内
93417744,"117118733340914972436","7822397",2024-03-31 08:22:36,"7017",北京,销售订单,199.00,,0.00,海南岛内,线上,境内
93418000,"117118733260914974849","7822397",2024-03-31 08:22:47,"7017",北京,销售订单,350.00,,0.00,海南岛内,线上,境内
93418256,"117118733700914975734","7822397",2024-03-31 08:23:03,"7017",北京,销售订单,298.00,,0.00,海南岛内,线上,境内
93418512,"117118733300914976979","7822397",2024-03-31 08:23:20,"7017",北京,销售订单,1099.00,,0.00,海南岛内,线上,境内
93418768,"117118733740914976295","7822397",2024-03-31 08:23:32,"7017",北京,销售订单,298.00,,0.00,海南岛内,线上,境内
93419024,"117118733780914973820","7822397",2024-03-31 08:23:42,"7017",北京,销售订单,1255.00,,0.00,海南岛内,线上,境内
93430544,"117118878500914975903","7822397",2024-03-31 12:24:33,"7017",北京,销售订单,310.00,,0.00,海南岛内,线上,境内
93430800,"117118878450914975746","7822397",2024-03-31 12:24:43,"7017",北京,销售订单,320.00,,0.00,海南岛内,线上,境内
93431056,"117118878390914974057","7822397",2024-03-31 12:24:54,"7017",北京,销售订单,298.00,,0.00,海南岛内,线上,境内
93437456,LF1298203639357116202,"2615547",2024-03-31 14:09:39,"5234B",浙江,销售订单,2288.28,,0.00,海南岛外,线上,境内
93438480,LF1298225426753130282,"26420949",2024-03-31 14:31:15,"5234B",浙江,销售订单,391.65,,13.00,海南岛外,线上,境内
93438992,LF1298232467983229082,"26420949",2024-03-31 14:38:15,"5234B",浙江,销售订单,299.40,,0.00,海南岛外,线上,境内
93673647,LF1297560056795286982,"10928780",2024-03-31 03:30:15,"5234B",浙江,销售订单,596.20,,0.00,海南岛外,线上,境内
93831083,"392687588593","26580147",2024-03-31 02:20:13,"7069",辽宁,销售订单,1485.00,,0.00,海南岛外,线上,境外
93832619,"0313240331105538080","11242968",2024-03-31 02:56:35,"6868",广东,销售订单,1806.00,18.00,0.00,海南岛内,线下,境内
93833643,"5623240331110834932","11242968",2024-03-31 03:09:42,"6868",广东,销售订单,1299.00,433.00,0.00,海南岛内,线下,境内
93833899,"5623240331111042625","11242968",2024-03-31 03:11:02,"6868",广东,销售订单,570.00,1.00,451.00,海南岛内,线下,境内
93835691,"1128240331113012097","11809260",2024-03-31 03:34:08,"7048",四川,销售订单,5798.00,555.00,8.00,海南岛内,线下,境内
93842347,"1474240331131351697","11809260",2024-03-31 05:14:21,"7048",四川,销售订单,399.20,0.00,399.00,海南岛内,线下,境内
93844395,"1474240331133434448","11809260",2024-03-31 05:34:53,"7048",四川,销售订单,180.00,1.00,156.00,海南岛内,线下,境内
93853355,"117118771429262826014","26671865",2024-03-31 09:26:57,"7017",北京,销售订单,755.00,,0.00,海南岛内,线上,境内
93862059,"392755055337","19558913",2024-03-31 12:28:41,"7069",辽宁,销售订单,254.00,,0.00,海南岛外,线上,境外
93862315,"392755175337","19558913",2024-03-31 12:30:15,"7069",辽宁,销售订单,678.00,,0.00,海南岛外,线上,境外
93863339,"392772085337","19558913",2024-03-31 12:43:38,"7069",辽宁,销售订单,178.00,,0.00,海南岛外,线上,境外
93899248,"392651282603","26483649",2024-03-30 16:54:42,"7069",辽宁,销售订单,256.00,,0.00,海南岛外,线上,境外
93911181,"5316240331152038717","19540666",2024-03-31 07:20:52,"6868",广东,销售订单,105.40,1.00,0.00,海南岛内,线下,境内
93912205,"5096240331155605563","19540666",2024-03-31 07:56:22,"6868",广东,销售订单,1590.00,48.00,0.00,海南岛内,线下,境内
93912973,"5038240331160558942","19540666",2024-03-31 08:06:17,"6868",广东,销售订单,1015.00,10.00,49.00,海南岛内,线下,境内
93914253,"5095240331161826531","19540666",2024-03-31 08:18:37,"6868",广东,销售订单,366.00,4.00,0.00,海南岛内,线下,境内
93921421,"240331183600950041785813","10340904",2024-03-31 10:37:32,"5234D",黑龙江,销售订单,310.08,3.00,0.00,海南岛外,线下,境内
93923469,"0413240331192049329","19540666",2024-03-31 11:21:56,"6868",广东,销售订单,5610.00,56.00,0.00,海南岛内,线下,境内
94073035,S71011404240304402,"11130328",2024-03-30 23:16:07,"3512",四川,销售订单,414.00,4.00,9.00,海南岛外,线下,境内
94073803,LF1297327808619482924,"11124608",2024-03-30 23:39:42,"3508",四川,销售订单,910.10,,0.00,海南岛外,线上,境内
94074059,LF1297327808619482922,"11124608",2024-03-30 23:39:43,"5234B",浙江,销售订单,1814.73,,0.00,海南岛外,线上,境内
94074315,S72011409240302164,"11130328",2024-03-30 23:49:03,"3512",四川,销售订单,5929.20,59.00,0.00,海南岛外,线下,境内
94075083,"240331081331020050652748","10192248",2024-03-31 00:15:41,"5234D",黑龙江,销售订单,240.96,2.00,0.00,海南岛外,线下,境内
94082507,LFH1297327808619482929,"11124608",2024-03-31 03:00:33,"5234A",海南,销售订单,405.00,,0.00,海南岛内,线上,境内
94101451,LF1297855210470770042,"11452914",2024-03-31 08:23:34,"5234B",浙江,销售订单,205.20,,0.00,海南岛外,线上,境内
94182475,"392693674895","26693579",2024-03-31 03:26:53,"7069",辽宁,销售订单,666.00,,0.00,海南岛外,线上,境外
94210379,LF1298205340567129542,"12232715",2024-03-31 14:11:20,"5234B",浙江,销售订单,1660.00,,0.00,海南岛外,线上,境内
94210635,LF1298206525038268202,"12232715",2024-03-31 14:12:30,"5234B",浙江,销售订单,349.20,,0.00,海南岛外,线上,境内
94246832,LF1297531776113053482,"19241876",2024-03-31 03:04:07,"5234B",浙江,销售订单,729.60,,24.00,海南岛外,线上,境内
94250928,"240331121401390036114344","12175707",2024-03-31 04:15:40,"5234D",黑龙江,销售订单,1391.75,21.00,0.00,海南岛外,线下,境内
94254768,LF1297670147880046022,"3863178",2024-03-31 05:19:58,"5234B",浙江,销售订单,4255.88,,0.00,海南岛外,线上,境内
94257072,"240331143301390037295489","12175707",2024-03-31 06:34:35,"5234D",黑龙江,销售订单,2503.54,38.00,0.00,海南岛外,线下,境内
94257840,"240331144101390035168239","12175707",2024-03-31 06:44:16,"5234D",黑龙江,销售订单,4332.00,65.00,0.00,海南岛外,线下,境内
94261680,LF1297812686603636452,"3863178",2024-03-31 07:41:29,"5234B",浙江,销售订单,1712.34,,0.00,海南岛外,线上,境内
94267056,"240331175401390036114494","12175707",2024-03-31 09:55:54,"5234D",黑龙江,销售订单,2694.87,40.00,0.00,海南岛外,线下,境内
94267312,"240331175801390036114498","12175707",2024-03-31 10:01:29,"5234D",黑龙江,销售订单,2084.49,31.00,0.00,海南岛外,线下,境内
94270896,LF1298073308910374342,"3863178",2024-03-31 12:00:28,"5234B",浙江,销售订单,5774.54,,0.00,海南岛外,线上,境内
94278832,"240331223301390036114597","12175707",2024-03-31 14:36:45,"5234D",黑龙江,销售订单,564.30,8.00,0.00,海南岛外,线下,境内
94279344,LF1298233405829369662,"3863178",2024-03-31 14:39:28,"5234B",浙江,销售订单,7189.82,,0.00,海南岛外,线上,境内
94281323,"240331071001390036921384","10471417",2024-03-30 23:12:35,"5234D",黑龙江,销售订单,3786.92,38.00,0.00,海南岛外,线下,境内
94315627,"240331161500200017402289","17653834",2024-03-31 08:21:41,"5234C",陕西,销售订单,8444.56,126.00,29.00,海南岛外,线下,境内
94315883,"240331162200200017402291","17653834",2024-03-31 08:25:48,"5234C",陕西,销售订单,8445.37,126.00,29.00,海南岛外,线下,境内
94316907,"240331162800200017402293","17653834",2024-03-31 08:30:28,"5234C",陕西,销售订单,8399.48,121.00,351.00,海南岛外,线下,境内
94317675,"240331163100200017402295","17653834",2024-03-31 08:36:27,"5234C",陕西,销售订单,8032.34,121.00,0.00,海南岛外,线下,境内
94318443,"240331163700200017402297","17653834",2024-03-31 08:44:13,"5234C",陕西,销售订单,8020.15,110.00,689.00,海南岛外,线下,境内
94319979,"240331170400200017300465","17653834",2024-03-31 09:06:54,"5234C",陕西,销售订单,8031.52,121.00,0.00,海南岛外,线下,境内
94320235,"240331171100200017300470","17653834",2024-03-31 09:13:20,"5234C",陕西,销售订单,8024.22,120.00,0.00,海南岛外,线下,境内
94320747,"240331171600200017300473","17653834",2024-03-31 09:18:09,"5234C",陕西,销售订单,8020.15,120.00,0.00,海南岛外,线下,境内
94321515,"240331171900200017300477","17653834",2024-03-31 09:22:34,"5234C",陕西,销售订单,7819.53,117.00,0.00,海南岛外,线下,境内
94333803,"117118891668359476999","19278567",2024-03-31 12:46:22,"7017",北京,销售订单,390.00,,0.00,海南岛内,线上,境内
94336107,"117118917101605419602","19236547",2024-03-31 13:28:59,"7017",北京,销售订单,620.00,,0.00,海南岛内,线上,境内
94391950,"240331094601390036921428","3910322",2024-03-31 01:52:57,"5234D",黑龙江,销售订单,3981.14,60.00,0.00,海南岛外,线下,境内
94408846,"240331150401390035205911","3910322",2024-03-31 07:07:59,"5234D",黑龙江,销售订单,8754.18,131.00,0.00,海南岛外,线下,境内
94414222,LF1297851785066897562,"11161956",2024-03-31 08:20:08,"5234B",浙江,销售订单,721.65,,0.00,海南岛外,线上,境内
94458797,LF1297946571471586682,"12153528",2024-03-31 09:54:28,"5234B",浙江,销售订单,1483.70,,0.00,海南岛外,线上,境内
94641387,"701824033108572049707000","11242506",2024-03-31 00:57:35,"7018",四川,销售订单,202.64,2.00,1.00,海南岛内,线上,境内
94670571,"240331164000950041500711","11677919",2024-03-31 08:42:06,"5234D",黑龙江,销售订单,610.56,6.00,0.00,海南岛外,线下,境内
94670827,"240331164300960042134289","11677919",2024-03-31 08:45:03,"5234D",黑龙江,销售订单,301.92,3.00,0.00,海南岛外,线下,境内
94675179,LF1298020045611650503,"10890209",2024-03-31 11:07:32,"3508",四川,销售订单,630.80,,0.00,海南岛外,线上,境内
94675435,LF1298020045611650502,"10890209",2024-03-31 11:07:32,"5234B",浙江,销售订单,578.55,,11.00,海南岛外,线上,境内
94748687,"392763751250","12650719",2024-03-31 10:32:56,"7069",辽宁,销售订单,308.00,,0.00,海南岛外,线上,境外
94749199,LF1297997861937483562,"19489408",2024-03-31 10:45:12,"5234B",浙江,销售订单,347.00,,0.00,海南岛外,线上,境内
94749711,LF1298018628607987142,"1563792",2024-03-31 11:06:03,"5234B",浙江,销售订单,499.00,,0.00,海南岛外,线上,境内
94857582,LF1297338441180122922,"26175933",2024-03-30 23:50:29,"5234B",浙江,销售订单,299.00,,0.00,海南岛外,线上,境内
94858350,"240331081501390035168134","26175933",2024-03-31 00:15:43,"5234D",黑龙江,销售订单,872.10,13.00,0.00,海南岛外,线下,境内
94859374,LF1297418243685830462,"26175933",2024-03-31 01:09:48,"5234B",浙江,销售订单,159.00,,13.00,海南岛外,线上,境内
94863982,LF1297520611714663802,"26175933",2024-03-31 02:52:58,"5234B",浙江,销售订单,235.00,,0.00,海南岛外,线上,境内
