store_ou_code,store_ou_name,dt,etp_area,is_hn,is_on_line,amt,discount_amount,pay_amount,num,discount,discount_percent,workdays,holidays,weekdays,text_day,code_day,text_night,code_night,high,low,high_low,wc_day,wd_day,wc_night,wd_night,date,week
6922,cdf海口日月广场免税店,2024-4-17,1,1,2,3804652.56,3803782.16,3482546.56,4675,322106,0.084661081,1,平时,3,多云,01,多云,01,37,25,12,3~4级,南风,3~4级,南风,2024-04-17,星期三
6922,cdf海口日月广场免税店,2024-4-16,1,1,2,3216893.59,3216133.84,3013320.59,4610,203573,0.063282479,1,平时,2,多云,01,多云,01,35,25,10,3~4级,西北风,3~4级,南风,2024-04-16,星期二
6922,cdf海口日月广场免税店,2024-4-15,1,1,2,3033223.52,3068796.02,2807851.52,3586,225372,0.074301151,1,平时,1,多云,01,多云,01,36,24,12,<3级,南风,3~4级,南风,2024-04-15,星期一
6922,cdf海口日月广场免税店,2024-4-14,1,1,2,3099303.65,3099058.65,2911070.65,4357,188233,0.060733965,0,平时,7,多云,01,多云,01,34,24,10,3~4级,北风,4~5级,南风,2024-04-14,星期日
6922,cdf海口日月广场免税店,2024-4-13,1,1,2,4124829.36,4124510.86,3808599.36,4659,316230,0.07666499,0,平时,6,多云,01,多云,01,32,22,10,3~4级,南风,3~4级,南风,2024-04-13,星期六
6922,cdf海口日月广场免税店,2024-4-12,1,1,2,3770799.96,3769815.26,3493230.96,5041,277569,0.07361011,1,平时,5,多云,01,多云,01,32,24,8,3~4级,东南风,3~4级,东南风,2024-04-12,星期五
6922,cdf海口日月广场免税店,2024-4-11,1,1,2,5193063.44,5190839.64,4705908.44,6148,487155,0.09380879,1,平时,4,多云,01,多云,01,30,24,6,3~4级,东风,<3级,无持续风向,2024-04-11,星期四
6922,cdf海口日月广场免税店,2024-4-10,1,1,2,2171359.9,2169822.9,2069811.9,3174,101548,0.046767005,1,平时,3,小雨,07,多云,01,29,23,6,3~4级,东风,<3级,无持续风向,2024-04-10,星期三
6922,cdf海口日月广场免税店,2024-4-9,1,1,2,3431460.31,3428929.41,3227119.31,4262,204341,0.059549283,1,平时,2,小雨,07,小雨,07,27,24,3,3~4级,东北风,<3级,无持续风向,2024-04-09,星期二
6922,cdf海口日月广场免税店,2024-4-8,1,1,2,2699577.48,2699056.38,2536252.48,3651,163325,0.060500208,1,平时,1,雷阵雨,04,雷阵雨,04,32,24,8,3~4级,西风,<3级,无持续风向,2024-04-08,星期一
6922,cdf海口日月广场免税店,2024-4-7,1,1,2,3828101.62,3826010.97,3571575.62,4633,256526,0.067011283,0,平时,7,多云,01,多云,01,33,26,7,3~4级,南风,3~4级,南风,2024-04-07,星期日
6922,cdf海口日月广场免税店,2024-4-6,1,1,2,5530929.13,5530318.13,5138210.13,6035,392719,0.071004164,0,清明节,6,多云,01,多云,01,34,25,9,3~4级,南风,3~4级,南风,2024-04-06,星期六
6922,cdf海口日月广场免税店,2024-4-5,1,1,2,4219256.59,4247527.71,3972343.59,5375,246913,0.058520499,1,清明节,5,多云,01,多云,01,35,25,10,3~4级,东南风,3~4级,南风,2024-04-05,星期五
6922,cdf海口日月广场免税店,2024-4-4,1,1,2,3797090.69,3794265.99,3568271.69,5706,228819,0.060261663,1,清明节,4,多云,01,多云,01,35,25,10,3~4级,南风,4~5级,南风,2024-04-04,星期四
6922,cdf海口日月广场免税店,2024-4-3,1,1,2,3054788.62,3051681.77,2844877.62,4182,209911,0.068715393,1,平时,3,雷阵雨,04,多云,01,35,25,10,3~4级,南风,3~4级,南风,2024-04-03,星期三
6922,cdf海口日月广场免税店,2024-4-2,1,1,2,2809835,2809153.75,2733866,3764,75969,0.027036819,1,平时,2,晴,00,多云,01,35,25,10,3~4级,南风,3~4级,南风,2024-04-02,星期二
6922,cdf海口日月广场免税店,2024-4-1,1,1,2,4655203.97,4746588.47,4588653.97,4108,66550,0.014295829,1,平时,1,多云,01,多云,01,35,25,10,3~4级,南风,3~4级,南风,2024-04-01,星期一
6922,cdf海口日月广场免税店,2024-3-31,1,1,2,3606687.22,3605617.17,3360674.22,4575,246013,0.06821024,0,平时,7,多云,01,多云,01,34,25,9,3~4级,北风,3~4级,南风,2024-03-31,星期日
6922,cdf海口日月广场免税店,2024-3-30,1,1,2,4404420.53,4403648.53,4088076.53,5395,316344,0.071824204,0,平时,6,雷阵雨,04,多云,01,31,24,7,4~5级,西风,<3级,无持续风向,2024-03-30,星期六
6922,cdf海口日月广场免税店,2024-3-29,1,1,2,5385524.35,5385083.35,5006541.35,6187,378983,0.070370678,1,平时,5,阴,02,多云,01,27,24,3,<3级,东北风,3~4级,南风,2024-03-29,星期五
6922,cdf海口日月广场免税店,2024-3-28,1,1,2,5421178.6,5421748.6,5126356.6,6593,294822,0.054383377,1,平时,4,雾,18,雷阵雨,04,31,23,8,3~4级,北风,<3级,无持续风向,2024-03-28,星期四
6922,cdf海口日月广场免税店,2024-3-27,1,1,2,4715498.5,4715498.5,4432913.5,5606,282585,0.059926856,1,平时,3,雾,18,多云,01,32,23,9,3~4级,东北风,<3级,无持续风向,2024-03-27,星期三
6922,cdf海口日月广场免税店,2024-3-26,1,1,2,3686362.87,3686362.87,3494701.87,4920,191661,0.051991897,1,平时,2,多云,01,多云,01,31,23,8,3~4级,东北风,<3级,无持续风向,2024-03-26,星期二
6922,cdf海口日月广场免税店,2024-3-25,1,1,2,3697931.2,3698122.08,3491803.2,4400,206128,0.055741437,1,平时,1,多云,01,多云,01,33,24,9,3~4级,南风,<3级,无持续风向,2024-03-25,星期一
6922,cdf海口日月广场免税店,2024-3-24,1,1,2,3903509.41,3903607.41,3668167.41,4900,235342,0.060289851,0,平时,7,阴,02,多云,01,32,24,8,3~4级,南风,3~4级,南风,2024-03-24,星期日
6922,cdf海口日月广场免税店,2024-3-23,1,1,2,3669660.67,3676931.61,3470166.67,4705,199494,0.054363065,0,平时,6,多云,01,多云,01,32,24,8,3~4级,南风,4~5级,南风,2024-03-23,星期六
6922,cdf海口日月广场免税店,2024-3-22,1,1,2,3731823.13,3732603.77,3535063.13,4036,196760,0.0527249,1,平时,5,多云,01,多云,01,29,23,6,3~4级,南风,3~4级,南风,2024-03-22,星期五
6922,cdf海口日月广场免税店,2024-3-21,1,1,2,3137830.97,3137874.87,2949611.97,4128,188219,0.059983792,1,平时,4,多云,01,多云,01,25,20,5,3~4级,东南风,<3级,无持续风向,2024-03-21,星期四
6922,cdf海口日月广场免税店,2024-3-20,1,1,2,3894191.4,3946914.65,3701964.4,4527,192227,0.049362494,1,平时,3,阴,02,多云,01,22,18,4,3~4级,东北风,<3级,无持续风向,2024-03-20,星期三
6922,cdf海口日月广场免税店,2024-3-19,1,1,2,4272450.33,4272450.33,4014418.33,5186,258032,0.060394383,1,平时,2,小雨,07,阴,02,25,18,7,3~4级,东北风,3~4级,东北风,2024-03-19,星期二
6922,cdf海口日月广场免税店,2024-3-18,1,1,2,6316568.41,6407906.41,6028443.41,5406,288125,0.045614166,1,平时,1,多云,01,多云,01,30,22,8,3~4级,东风,3~4级,东北风,2024-03-18,星期一
6922,cdf海口日月广场免税店,2024-3-17,1,1,2,5254193.73,5273576.48,4913515.73,6198,340678,0.064839254,0,平时,7,多云,01,多云,01,30,23,7,3~4级,东南风,<3级,无持续风向,2024-03-17,星期日
