"dt","etp_area","is_hn","is_on_line","amt","discount_amount","pay_amount","num"
2024-04-19,"1",2,2,5353168.61,663349.8040,5212681.03,14343.00
2024-04-19,"1",1,2,5080750.29,5231189.5900,5044488.29,1352.00
2024-04-19,"4",2,2,61852.50,61852.5000,59045.55,72.20
2024-04-19,"1",1,1,4241262.18,1161376.3100,3411308.83,6410.00
2024-04-19,"4",2,1,834464.51,834464.5100,807825.97,2067.00
2024-04-19,"1",2,1,2290798.39,1169605.4300,2251009.39,6323.00
2024-04-18,"1",2,2,16984827.06,2998087.2568,16576169.06,42027.70
2024-04-18,"1",1,2,58654944.23,59202378.7700,56356785.23,35990.00
2024-04-18,"1",2,1,14054180.52,7174465.3800,13833208.86,39103.00
2024-04-18,"4",2,1,4914239.38,4914239.3800,4765689.70,11501.00
2024-04-18,"4",2,2,1714271.35,1377077.0500,1652484.01,2344.00
2024-04-18,"1",1,1,19148207.09,7822724.3000,15960755.15,30494.00
2024-04-17,"1",2,1,8250856.91,3993421.9900,8103935.98,24160.00
2024-04-17,"4",2,1,6385110.98,6385110.9800,6169966.11,17866.00
2024-04-17,"4",2,2,2106949.58,1505493.6000,2054449.62,2498.40
2024-04-17,"1",2,2,16407877.45,2452149.5724,16069580.33,37797.80
2024-04-17,"1",1,1,18910908.57,6950129.5700,15606660.38,30497.00
2024-04-17,"1",1,2,56605468.52,56924935.3700,53839106.52,37647.00
2024-04-16,"4",2,2,1834200.75,1098884.7500,1853883.97,1747.20
2024-04-16,"1",2,1,9822261.50,4747862.5400,9632808.98,28080.00
2024-04-16,"1",1,1,18459278.11,6604273.3200,15190997.64,33135.00
2024-04-16,"1",2,2,17629832.50,2428826.3500,17269014.12,43523.30
2024-04-16,"1",1,2,55450610.55,55631545.1000,52950617.55,37395.00
2024-04-16,"4",2,1,5268719.88,5268719.8800,5105520.73,15507.00
2024-04-15,"1",1,1,17606231.24,5889289.3200,14425669.68,32414.00
2024-04-15,"4",2,1,4526283.41,4526283.4100,4376482.28,13332.00
2024-04-15,"1",2,2,19078519.78,2427682.5904,18711602.12,46728.70
