日期,销量（升）,石化站价格,竞争站价格,价差,0号柴油销量（升）,0号柴油价差,0号柴油石化站价格,0号柴油竞争站价格,0号柴油占比
2023-1-1,16235386.73,,7.75,,7023189.12,3.3,7.2,3.9,43.26%
2023-1-2,19099604.31,,7.75,,9558719.49,3.3,7.2,3.9,50.05%
2023-1-3,21196615.48,,7.55,,13464604.85,3.3,7.2,3.9,63.52%
2023-1-4,14719118.17,7.75,6.39,1.36,8323385.61,3.51,7.41,3.9,56.55%
2023-1-5,15010279.85,7.75,6.39,1.36,9127254.86,3.51,7.41,3.9,60.81%
2023-1-6,16382020.51,7.75,6.25,1.5,9629613.51,3.51,7.41,3.9,58.78%
2023-1-7,16641259.84,7.75,6.25,1.5,9262418.81,3.51,7.41,3.9,55.66%
2023-1-8,16673696.35,7.75,6.25,1.5,8252232.94,3.51,7.41,3.9,49.49%
2023-1-9,18326205.73,7.75,6.25,1.5,9666559.34,3.51,7.41,3.9,52.75%
2023-1-10,19691915.22,7.75,6.25,1.5,9847823.46,3.51,7.41,3.9,50.01%
2023-1-11,20491827.76,7.75,6.15,1.6,9485188.43,3.51,7.41,3.9,46.29%
2023-1-12,19746445.03,7.75,6.15,1.6,8590240.66,3.51,7.41,3.9,43.50%
2023-1-13,20914607.89,7.75,6.15,1.6,7543459.38,3.51,7.41,3.9,36.07%
2023-1-14,22330181.14,7.75,6.15,1.6,6814156.45,3.51,7.41,3.9,30.52%
2023-1-15,23375745.12,7.75,6.15,1.6,5974426.06,3.51,7.41,3.9,25.56%
2023-1-16,24206561.33,7.75,6.15,1.6,5938168.08,3.51,7.41,3.9,24.53%
2023-1-17,23448574.25,7.75,6.15,1.6,4875291.23,3.51,7.41,3.9,20.79%
2023-1-18,28010377.88,7.59,6.09,1.5,5275689.39,3.34,7.24,3.9,18.83%
2023-1-19,26162297.48,7.59,6.09,1.5,3798583.52,3.34,7.24,3.9,14.52%
2023-1-20,27192978.11,7.59,6.09,1.5,2856171.18,3.34,7.24,3.9,10.50%
2023-1-21,19455713.04,7.59,6.09,1.5,1465137.34,3.34,7.24,3.9,7.53%
2023-1-22,9672206.69,7.59,6.09,1.5,705791.45,3.34,7.24,3.9,7.30%
2023-1-23,14302108.98,7.59,6.09,1.5,1224945.6,3.34,7.24,3.9,8.56%
2023-1-24,16670178.85,7.59,6.09,1.5,1512358.93,3.34,7.24,3.9,9.07%
2023-1-25,18442796.99,7.59,6.09,1.5,1815133.94,3.34,7.24,3.9,9.84%
2023-1-26,20832414.56,7.59,6.09,1.5,2192687.6,3.34,7.24,3.9,10.53%
2023-1-27,23197967.3,7.59,6.09,1.5,2916508.76,3.34,7.24,3.9,12.57%
2023-1-28,21048622.81,7.59,6.09,1.5,4070484.03,3.34,7.24,3.9,19.34%
2023-1-29,20499286.77,7.59,6.09,1.5,5874108.26,3.34,7.24,3.9,28.66%
2023-1-30,20117606.88,7.59,6.09,1.5,7550715.26,3.34,7.24,3.9,37.53%
2023-1-31,20370867.29,7.59,6.09,1.5,8743611.08,3.34,7.24,3.9,42.92%
2023-2-1,20517901.51,7.59,6.09,1.5,9564944.87,3.34,7.24,3.9,46.62%
2023-2-2,22755766.18,7.59,6.09,1.5,11022840.41,3.34,7.24,3.9,48.44%
2023-2-3,26576741.47,7.59,6.09,1.5,13599420.08,3.34,7.24,3.9,51.17%
2023-2-4,16143233.08,7.76,6.26,1.5,6706587.15,3.51,7.41,3.9,41.54%
2023-2-5,16416978.58,7.76,6.26,1.5,5830220.7,3.51,7.41,3.9,35.51%
2023-2-6,18339468.66,7.76,6.26,1.5,7790173.29,3.51,7.41,3.9,42.48%
2023-2-7,18173174.69,7.76,6.26,1.5,9326423.24,3.51,7.41,3.9,51.32%
2023-2-8,18222940.83,7.76,6.26,1.5,9941471.58,3.51,7.41,3.9,54.55%
2023-2-9,17787771.37,7.76,6.26,1.5,8974066.83,3.51,7.41,3.9,50.45%
2023-2-10,19962497.57,7.76,6.26,1.5,10139400.53,3.51,7.41,3.9,50.79%
2023-2-11,18574079.98,7.76,6.26,1.5,8624149.34,3.51,7.41,3.9,46.43%
2023-2-12,17877780.37,7.76,6.26,1.5,6646936.77,3.51,7.41,3.9,37.18%
2023-2-13,19524303.92,7.76,6.26,1.5,9320173.67,3.51,7.41,3.9,47.74%
2023-2-14,19504655.15,7.76,6.26,1.5,10664680.38,3.51,7.41,3.9,54.68%
2023-2-15,19020527.6,7.76,6.59,1.17,11066567.1,3.51,7.41,3.9,58.18%
2023-2-16,18516909.06,7.76,6.59,1.17,10821917.92,3.51,7.41,3.9,58.44%
2023-2-17,19336702.83,7.76,6.59,1.17,10817497.19,3.51,7.41,3.9,55.94%
2023-2-18,19773070.31,7.76,6.59,1.17,10471034.65,3.51,7.41,3.9,52.96%
2023-2-19,19583622.26,7.76,6.59,1.17,8758976.37,3.51,7.41,3.9,44.73%
2023-2-20,18702161.85,7.76,6.59,1.17,11040727.84,3.51,7.41,3.9,59.03%
2023-2-21,18537444.53,7.76,6.59,1.17,11541459.3,3.51,7.41,3.9,62.26%
2023-2-22,18190779.67,7.76,6.59,1.17,11566134.42,3.51,7.41,3.9,63.58%
2023-2-23,17674337.84,7.76,6.59,1.17,10938781.21,3.51,7.41,3.9,61.89%
2023-2-24,19955807.9,7.76,6.59,1.17,11161864.22,3.51,7.41,3.9,55.93%
2023-2-25,19236247.39,7.76,6.59,1.17,10324818.93,3.51,7.41,3.9,53.67%
