"日期","0号柴油销量（升）","0号柴油价差","石化站价格","竞争站价格"
2023-01-01,7023189.12,3.30,"7.20",3.90
2023-01-02,9558719.49,3.30,"7.20",3.90
2023-01-03,13464604.85,3.30,"7.20",3.90
2023-01-04,8323385.61,3.51,"7.41",3.90
2023-01-05,9127254.86,3.51,"7.41",3.90
2023-01-06,9629613.51,3.51,"7.41",3.90
2023-01-07,9262418.81,3.51,"7.41",3.90
2023-01-08,8252232.94,3.51,"7.41",3.90
2023-01-09,9666559.34,3.51,"7.41",3.90
2023-01-10,9847823.46,3.51,"7.41",3.90
2023-01-11,9485188.43,3.51,"7.41",3.90
2023-01-12,8590240.66,3.51,"7.41",3.90
2023-01-13,7543459.38,3.51,"7.41",3.90
2023-01-14,6814156.45,3.51,"7.41",3.90
2023-01-15,5974426.06,3.51,"7.41",3.90
2023-01-16,5938168.08,3.51,"7.41",3.90
2023-01-17,4875291.23,3.51,"7.41",3.90
2023-01-18,5275689.39,3.34,"7.24",3.90
2023-01-19,3798583.52,3.34,"7.24",3.90
2023-01-20,2856171.18,3.34,"7.24",3.90
2023-01-21,1465137.34,3.34,"7.24",3.90
2023-01-22,705791.45,3.34,"7.24",3.90
2023-01-23,1224945.60,3.34,"7.24",3.90
2023-01-24,1512358.93,3.34,"7.24",3.90
2023-01-25,1815133.94,3.34,"7.24",3.90
2023-01-26,2192687.60,3.34,"7.24",3.90
2023-01-27,2916508.76,3.34,"7.24",3.90
2023-01-28,4070484.03,3.34,"7.24",3.90
2023-01-29,5874108.26,3.34,"7.24",3.90
2023-01-30,7550715.26,3.34,"7.24",3.90
2023-01-31,8743611.08,3.34,"7.24",3.90
2023-02-01,9564944.87,3.34,"7.24",3.90
2023-02-02,11022840.41,3.34,"7.24",3.90
2023-02-03,13599420.08,3.34,"7.24",3.90
2023-02-04,6706587.15,3.51,"7.41",3.90
2023-02-05,5830220.70,3.51,"7.41",3.90
2023-02-06,7790173.29,3.51,"7.41",3.90
2023-02-07,9326423.24,3.51,"7.41",3.90
2023-02-08,9941471.58,3.51,"7.41",3.90
2023-02-09,8974066.83,3.51,"7.41",3.90
2023-02-10,10139400.53,3.51,"7.41",3.90
2023-02-11,8624149.34,3.51,"7.41",3.90
2023-02-12,6646936.77,3.51,"7.41",3.90
2023-02-13,9320173.67,3.51,"7.41",3.90
2023-02-14,10664680.38,3.51,"7.41",3.90
2023-02-15,11066567.10,3.51,"7.41",3.90
2023-02-16,10821917.92,3.51,"7.41",3.90
2023-02-17,10817497.19,3.51,"7.41",3.90
2023-02-18,10471034.65,3.51,"7.41",3.90
