"日期","0号柴油销量（升）","0号柴油价差","石化站价格","竞争站价格"
2023-01-01,6214.42,0.51,"7.20",6.69
2023-01-02,13718.13,0.51,"7.20",6.69
2023-01-03,10315.85,0.51,"7.20",6.69
2023-01-04,7613.65,0.81,"7.41",6.60
2023-01-05,30992.56,0.81,"7.41",6.60
2023-01-06,13470.68,0.81,"7.41",6.60
2023-01-07,20324.88,0.81,"7.41",6.60
2023-01-08,17583.33,0.81,"7.41",6.60
2023-01-09,11064.91,0.81,"7.41",6.60
2023-01-10,19119.66,0.81,"7.41",6.60
2023-01-11,9084.76,0.81,"7.41",6.60
2023-01-12,8455.89,0.81,"7.41",6.60
2023-01-13,6550.70,0.81,"7.41",6.60
2023-01-14,5263.81,0.81,"7.41",6.60
2023-01-15,6136.06,0.81,"7.41",6.60
2023-01-16,2079.78,0.81,"7.41",6.60
2023-01-17,1986.49,0.81,"7.41",6.60
2023-01-18,2160.32,0.64,"7.24",6.60
2023-01-19,1309.19,0.64,"7.24",6.60
2023-01-20,225.28,0.64,"7.24",6.60
2023-01-21,595.48,0.64,"7.24",6.60
2023-01-22,305.97,0.64,"7.24",6.60
2023-01-23,732.98,0.64,"7.24",6.60
2023-01-24,1262.42,0.64,"7.24",6.60
2023-01-25,1247.84,0.64,"7.24",6.60
2023-01-26,2034.25,0.64,"7.24",6.60
2023-01-27,1623.04,0.64,"7.24",6.60
2023-01-28,3495.78,0.64,"7.24",6.60
2023-01-29,2020.87,0.64,"7.24",6.60
2023-01-30,15138.23,0.64,"7.24",6.60
2023-01-31,5113.19,0.64,"7.24",6.60
2023-02-01,8057.23,0.64,"7.24",6.60
2023-02-02,6628.25,0.64,"7.24",6.60
2023-02-03,14899.45,0.64,"7.24",6.60
2023-02-04,3024.77,0.61,"7.41",6.80
2023-02-05,7034.52,0.61,"7.41",6.80
2023-02-06,6767.61,0.61,"7.41",6.80
2023-02-07,11275.68,0.61,"7.41",6.80
2023-02-08,9154.73,0.61,"7.41",6.80
2023-02-09,5954.84,0.61,"7.41",6.80
2023-02-10,7165.37,0.61,"7.41",6.80
2023-02-11,6341.93,0.61,"7.41",6.80
2023-02-12,3346.65,0.61,"7.41",6.80
2023-02-13,6525.14,0.61,"7.41",6.80
2023-02-14,7899.89,0.61,"7.41",6.80
2023-02-15,8395.71,0.60,"7.41",6.81
2023-02-16,8204.33,0.60,"7.41",6.81
2023-02-17,9077.01,0.60,"7.41",6.81
2023-02-18,6850.46,0.60,"7.41",6.81
2023-02-19,7119.95,0.60,"7.41",6.81
2023-02-20,5433.07,0.60,"7.41",6.81
