date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/1/1,2023/1/1,267,105172.09,105172.09,0,14672.61,161,18,4.5,2.7,3576,668,"扬州,扬州市,江苏省,中国",多云,多云,9,3,<3级,东北风,<3级,北风,星期日,,1,,0,,,7.2,[],29,2643.61,19033.73,7.2,"[5.07, 6.69, 7.20]",41,6214.42,44743.26,,,0,,,7.55,"[5.49, 7.05, 7.55]",132,3622.58,27349.85,,,0,,,8.04,"[5.84, 7.34, 8.04]",39,1546.12,12430.59,,,0,,
2023/1/2,2023/1/2,353,212527.77,212527.77,0,29516.01,212,37,5.73,4.51,3704,820,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,<3级,东风,<3级,东北风,星期一,,,,0,,,7.2,[],51,7880.98,56742.64,7.2,"[5.07, 6.69, 7.20]",57,13718.13,98769.98,,,0,,,7.55,"[5.49, 7.05, 7.55]",159,4834.58,36700.28,,,0,,,8.04,"[5.84, 7.34, 8.04]",58,2276.02,18299.16,,,0,,
2023/1/3,2023/1/3,345,166642.07,166642.07,0,23069.71,196,53,4.78,5.1,4099,1038,"扬州,扬州市,江苏省,中国",晴,晴,10,-2,<3级,东北风,<3级,东南风,星期二,,,,0,,,7.2,[],40,4984.13,35885.35,7.2,"[5.07, 6.69, 7.20]",60,10315.85,74273.43,,,0,,,7.55,"[5.49, 7.05, 7.55]",163,4757.3,36038.8,,,0,,,8.04,"[5.84, 7.34, 8.04]",55,2330.94,18740.8,,,0,,
2023/1/4,2023/1/4,259,110388.43,110388.43,0,15056.32,160,46,4.02,4.23,3980,1087,"扬州,扬州市,江苏省,中国",晴,多云,11,-1,<3级,南风,<3级,东南风,星期三,,,,0,,,7.41,[],21,2147.3,15911.24,7.41,"[5.07, 6.59, 6.60, 7.41]",53,7613.65,56416.25,,,0,,,7.75,"[5.49, 7.75]",120,3226.61,25005.75,,,0,,,8.25,"[5.84, 8.25]",35,1370.97,11310.74,,,0,,
2023/1/5,2023/1/5,325,307893.96,307893.96,0,41734.47,183,38,4.31,3.44,4246,1106,"扬州,扬州市,江苏省,中国",多云,多云,13,2,<3级,东南风,<3级,西风,星期四,,,,0,,,7.41,[],48,4790.27,35495.44,7.41,"[5.07, 6.59, 6.60, 7.41]",76,30992.56,229654.14,,,0,,,7.75,"[5.49, 7.35, 7.75]",136,3588.63,27828.22,,,0,,,8.25,"[5.84, 7.55, 8.25]",36,1566.67,12925.34,,,0,,
2023/1/6,2023/1/6,279,167976,167976,0,22548.8,172,42,3.92,3.91,4385,1075,"扬州,扬州市,江苏省,中国",多云,多云,15,-2,3~4级,西风,<3级,西北风,星期五,,,,0,,,7.41,[],27,3439.99,25489.98,7.41,"[5.07, 6.59, 6.60, 7.41]",55,13470.68,99816.88,,,0,,,7.75,"[5.49, 7.35, 7.75]",139,3699.01,28666.57,,,0,,,8.25,"[5.84, 7.55, 8.25]",42,1592.07,13134.96,,,0,,
2023/1/7,2023/1/7,307,221624.21,221624.21,0,30088.26,172,35,3.86,3.59,4458,977,"扬州,扬州市,江苏省,中国",多云,多云,15,4,<3级,西南风,<3级,南风,星期六,,,,0,,,7.41,[],34,3803.92,28186.54,7.41,"[5.07, 6.59, 6.60, 7.41]",68,20324.88,150606.65,,,0,,,7.75,"[5.49, 7.35, 7.75]",127,3484.33,27003.32,,,0,,,8.25,"[5.84, 7.55, 8.25]",45,1676.41,13830.91,,,0,,
2023/1/8,2023/1/8,296,206788.73,206788.73,0,28144.95,186,38,4.33,4.29,4290,886,"扬州,扬州市,江苏省,中国",多云,晴,20,1,<3级,西南风,<3级,东北风,星期日,,,,0,,,7.41,[],29,4397.87,32587.88,7.41,"[5.07, 6.59, 6.60, 7.41]",50,17583.33,130291.88,,,0,,,7.75,"[5.49, 7.35, 7.75]",130,3159.18,24583.15,,,0,,,8.25,"[5.84, 7.55, 8.25]",52,2054.58,16950.91,,,0,,
2023/1/9,2023/1/9,337,154705.18,154705.18,0,21037.12,195,50,4.38,4.6,4447,1087,"扬州,扬州市,江苏省,中国",多云,多云,15,2,3~4级,东北风,<3级,东北风,星期一,,,,0,,,7.41,[],34,3156.61,23390.13,7.41,"[5.07, 6.59, 6.60, 7.41]",68,11064.91,81990.14,,,0,,,7.75,"[5.49, 7.35, 7.75]",142,3564.55,27825.31,,,0,,,8.25,"[5.84, 7.55, 8.25]",53,2325.52,19185.83,,,0,,
2023/1/10,2023/1/10,352,235152.8,235152.8,0,31824.76,211,50,4.61,4.7,4574,1063,"扬州,扬州市,江苏省,中国",多云,多云,12,0,<3级,东风,<3级,东风,星期二,,,,0,,,7.41,[],43,5310.29,39348.89,7.41,"[5.07, 6.59, 6.60, 7.41]",64,19119.66,141675.79,,,0,,,7.75,"[5.49, 7.35, 7.75]",156,4441.23,34419.35,,,0,,,8.25,"[5.84, 7.55, 8.25]",57,2143.33,17683.21,,,0,,
