date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,359占比,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,304占比,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,305占比,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,313占比,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/1/1,2023/1/1,328,255416.98,255416.98,0,34889.87,222,12,9.14,12.12,2430,98,"扬州,扬州市,江苏省,中国",多云,多云,9,3,<3级,东北风,<3级,北风,星期日,,,,0,,,,,0,,,7.2,"[5.07, 7.20]",28,8.54%,25905.09,186516.28,7.55,"[5.49, 7.35, 7.55]",85,25.91%,2566.63,19374.75,7.55,"[5.49, 7.35, 7.55]",154,46.95%,4222.94,31877.99,,,0,,,8.04,"[5.84, 8.04]",61,18.60%,2195.21,17647.96,,,0,,
2023/1/2,2023/1/2,400,326532.8,326532.8,0,44622.94,241,22,10.14,15.83,2376,139,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.2,"[5.07, 7.20]",73,18.25%,34351.51,247329.5,7.85,"[5.49, 7.35, 7.55]",93,23.25%,2657.45,20260.3,7.55,"[5.49, 7.35, 7.55]",160,40.00%,4623.54,34901.52,,,0,,,8.04,"[5.84, 8.04]",74,18.50%,2990.44,24041.48,,,0,,
2023/1/3,2023/1/3,384,384622.8,384622.8,0,52817.75,268,13,10.61,8.18,2524,158,"扬州,扬州市,江苏省,中国",晴,晴,10,-2,<3级,东北风,<3级,东南风,星期二,,,,0,,,,,0,,,7.2,"[5.07, 7.20]",76,19.79%,43698.26,314626.46,7.55,"[5.49, 7.35, 7.55]",103,26.82%,2821.71,21300.22,7.55,"[5.49, 7.35, 7.55]",140,36.46%,3939.69,29739.29,,,0,,,8.04,"[5.84, 8.04]",65,16.93%,2358.09,18956.83,,,0,,
2023/1/4,2023/1/4,315,83322.44,83322.44,0,10665.65,205,7,8.08,4.83,2538,145,"扬州,扬州市,江苏省,中国",晴,多云,11,-1,<3级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.41,"[5.07, 7.21, 7.41]",38,12.06%,2445.54,18120.33,7.75,"[5.49, 7.75]",75,23.81%,2002.88,15520.23,7.75,"[5.49, 7.75]",125,39.68%,3208.31,24860.71,,,0,,,8.25,"[5.84, 8.25]",77,24.44%,3008.92,24821.17,,,0,,
2023/1/5,2023/1/5,332,163651.31,163651.31,0,21525.75,214,19,8.17,10.33,2619,183,"扬州,扬州市,江苏省,中国",多云,多云,13,2,<3级,东南风,<3级,西风,星期四,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",59,17.77%,13239.69,98104.99,7.75,"[5.49, 7.55, 7.75]",83,25.00%,2396.58,18571.46,7.75,"[5.49, 7.55, 7.75]",125,37.65%,3215.13,24913.79,,,0,,,8.25,"[5.84, 8.25]",65,19.58%,2674.35,22061.07,,,0,,
2023/1/6,2023/1/6,275,196737.8,196737.8,0,26077.78,194,12,7.15,6.98,2712,172,"扬州,扬州市,江苏省,中国",多云,多云,15,-2,3~4级,西风,<3级,西北风,星期五,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",45,16.36%,18979.48,140636.76,7.75,"[5.49, 7.55, 7.75]",67,24.36%,1924.07,14909.48,7.75,"[5.49, 7.55, 7.75]",109,39.64%,2982.19,23109.28,,,0,,,8.25,"[5.84, 8.25]",54,19.64%,2192.04,18082.28,,,0,,
2023/1/7,2023/1/7,302,217108.22,217108.22,0,28753.48,178,16,6.86,10.06,2594,158,"扬州,扬州市,江苏省,中国",多云,多云,15,4,<3级,西南风,<3级,南风,星期六,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",59,19.54%,21316.58,157954.09,7.75,"[5.49, 7.55, 7.75]",48,15.89%,1279.94,9918.16,7.75,"[5.49, 7.55, 7.75]",121,40.07%,3106.6,24073.01,,,0,,,8.25,"[5.84, 8.25]",74,24.50%,3050.36,25162.96,,,0,,
2023/1/8,2023/1/8,297,172743.05,172743.05,0,22768.4,196,14,7.32,8.92,2679,156,"扬州,扬州市,江苏省,中国",多云,晴,20,1,<3级,西南风,<3级,东北风,星期日,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",34,11.45%,14896.98,110385.92,7.75,"[5.49, 7.55, 7.75]",51,17.17%,1364.6,10574.07,7.75,"[5.49, 7.55, 7.75]",139,46.80%,3783.03,29314.32,,,0,,,8.25,"[5.84, 8.25]",73,24.58%,2723.79,22468.74,,,0,,
2023/1/9,2023/1/9,351,97320.52,97320.52,0,12486.67,234,14,8.02,8.75,2918,160,"扬州,扬州市,江苏省,中国",多云,多云,15,2,3~4级,东北风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",41,11.68%,2822.43,20912.86,7.75,"[5.49, 7.55, 7.75]",91,25.93%,2593.64,20098.19,7.75,"[5.49, 7.55, 7.75]",144,41.03%,4033.28,31253.89,,,0,,,8.25,"[5.84, 8.25]",75,21.37%,3037.32,25055.58,,,0,,
2023/1/10,2023/1/10,390,115862.05,115862.05,0,14913.95,256,14,8.83,7.87,2899,178,"扬州,扬州市,江苏省,中国",多云,多云,12,0,<3级,东风,<3级,东风,星期二,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",55,14.10%,4242.54,31435.75,7.75,"[5.49, 7.55, 7.75]",90,23.08%,2629.84,20379.03,7.75,"[5.49, 7.55, 7.75]",159,40.77%,4578.37,35478.38,,,0,,,8.25,"[5.84, 8.25]",86,22.05%,3463.2,28568.89,,,0,,
