date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023-1-1,2023-1-1,104,30554.68,30554.68,0,4114.77,"扬州,扬州市,江苏省,中国",多云,多云,9,3,<3级,东北风,<3级,北风,星期日,,,,0,,,,,0,,,7.2,[7.20],25,2111.49,15202.26,7.55,[7.55],35,846.27,6387.77,7.55,[7.55],33,685.93,5177.44,,,0,,,8.04,[8.04],11,471.08,3787.21,,,0,,
2023-1-2,2023-1-2,129,42049.26,42049.26,0,5666.73,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.2,[7.20],22,2907.4,20933,7.55,[7.55],44,1204.02,9088.53,7.55,[7.55],47,968.39,7309.24,,,0,,,8.04,[8.04],16,586.92,4718.49,,,0,,
2023-1-3,2023-1-3,224,99877.02,99877.02,0,13616.22,"扬州,扬州市,江苏省,中国",晴,晴,10,-2,<3级,东北风,<3级,东南风,星期二,,,,0,,,,,0,,,7.2,[7.20],71,9766.84,70320.02,7.55,[7.55],55,1493.41,11273.21,7.55,[7.55],68,1336.5,10088.04,,,0,,,8.04,[8.04],30,1019.47,8195.75,,,0,,
2023-1-4,2023-1-4,140,54760.43,54760.43,0,7227.79,"扬州,扬州市,江苏省,中国",晴,多云,11,-1,<3级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.41,[7.41],40,4641.3,34391.22,7.75,[7.75],35,1006.47,7799,7.75,[7.75],46,924.94,7166.52,,,0,,,8.25,[8.25],19,655.08,5403.69,,,0,,
2023-1-5,2023-1-5,133,49562.06,49562.06,0,6551.66,"扬州,扬州市,江苏省,中国",多云,多云,13,2,<3级,东南风,<3级,西风,星期四,,,,0,,,,,0,,,7.41,[7.41],32,4234.4,31376.16,7.75,[7.75],37,989.49,7667.5,7.75,[7.75],52,866.85,6716.39,,,0,,,8.25,[8.25],12,460.92,3802.01,,,0,,
2023-1-6,2023-1-6,137,50157.62,50157.62,0,6619.81,"扬州,扬州市,江苏省,中国",多云,多云,15,-2,3~4级,西风,<3级,西北风,星期五,,,,0,,,,,0,,,7.41,[7.41],38,4035.44,29901.81,7.75,[7.75],33,909.19,7045.23,7.75,[7.75],55,1214.62,9411.4,,,0,,,8.25,[8.25],11,460.56,3799.18,,,0,,
2023-1-7,2023-1-7,152,64809.4,64809.4,0,8557.42,"扬州,扬州市,江苏省,中国",多云,多云,15,4,<3级,西南风,<3级,南风,星期六,,,,0,,,,,0,,,7.41,[7.41],43,5773.91,42783.94,7.75,[7.75],35,857.23,6642.42,7.75,[7.75],51,1011.62,7838.1,,,0,,,8.25,[8.25],23,914.66,7544.94,,,0,,
2023-1-8,2023-1-8,140,51042.18,51042.18,0,6745.86,"扬州,扬州市,江苏省,中国",多云,晴,20,1,<3级,西南风,<3级,东北风,星期日,,,,0,,,,,0,,,7.41,[7.41],38,4550.22,33716.35,7.75,[7.75],29,635.96,4927.62,7.75,[7.75],54,932.31,7223.27,,,0,,,8.25,[8.25],19,627.37,5174.94,,,0,,
2023-1-9,2023-1-9,152,69268.82,69268.82,0,9181.97,"扬州,扬州市,江苏省,中国",多云,多云,15,2,3~4级,东北风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,[7.41],52,6595.96,48875.03,7.75,[7.75],28,895.15,6936.59,7.75,[7.75],57,978.92,7584.19,,,0,,,8.25,[8.25],15,711.94,5873.01,,,0,,
2023-1-10,2023-1-10,155,54624.14,54624.14,0,7126.38,"扬州,扬州市,江苏省,中国",多云,多云,12,0,<3级,东风,<3级,东风,星期二,,,,0,,,,,0,,,7.41,[7.41],34,3813.04,28253.78,7.75,[7.75],30,748.42,5799.21,7.75,[7.75],59,1172.36,9083.7,,,0,,,8.25,[8.25],32,1392.56,11487.45,,,0,,
2023-1-11,2023-1-11,157,61327.38,61327.38,0,8055,"扬州,扬州市,江苏省,中国",多云,多云,15,6,3~4级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.41,[7.41],36,4831.01,35797.12,7.75,[7.75],41,1139.94,8833.18,7.75,[7.75],54,986.47,7643.18,,,0,,,8.25,[8.25],26,1097.58,9053.9,,,0,,
2023-1-12,2023-1-12,156,52613.77,52613.77,0,6874.45,"扬州,扬州市,江苏省,中国",小雨,小雨,18,10,3~4级,南风,<3级,北风,星期四,,,,0,,,,,0,,,7.41,[7.41],31,3268.87,24221.82,7.75,[7.75],45,1315.17,10191.14,7.75,[7.75],57,1384.68,10729.29,,,0,,,8.25,[8.25],23,905.73,7471.52,,,0,,
2023-1-13,2023-1-13,139,50982.57,50982.57,0,6668.43,"扬州,扬州市,江苏省,中国",小雨,中雨,18,7,<3级,东风,<3级,东北风,星期五,,,,0,,,,,0,,,7.41,[7.41],27,3656.92,27097.07,7.75,[7.75],36,907.45,7031.57,7.75,[7.75],50,1003.75,7777.18,,,0,,,8.25,[8.25],26,1100.31,9076.75,,,0,,
2023-1-14,2023-1-14,120,41352.3,41352.3,0,5407.7,"扬州,扬州市,江苏省,中国",雨夹雪,雨夹雪,6,-3,3~4级,北风,<3级,北风,星期六,,,,0,,,,,0,,,7.41,[7.41],30,2797.13,20726.3,7.75,[7.75],32,884.32,6852.29,7.75,[7.75],41,931.94,7221.1,,,0,,,8.25,[8.25],17,794.31,6552.61,,,0,,
2023-1-15,2023-1-15,119,35775.72,35775.72,0,4654.98,"扬州,扬州市,江苏省,中国",多云,多云,0,-6,3~4级,北风,<3级,西北风,星期日,,,,0,,,,,0,,,7.41,[7.41],24,2051.52,15201.32,7.75,[7.75],31,904.62,7009.95,7.75,[7.75],43,896.99,6950.03,,,0,,,8.25,[8.25],21,801.85,6614.42,,,0,,
2023-1-16,2023-1-16,133,46161.67,46161.67,0,6018.71,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,<3级,北风,<3级,西风,星期一,,,,0,,,,,0,,,7.41,[7.41],24,2911.17,21571.43,7.75,[7.75],44,1237.32,9587.97,7.75,[7.75],41,849.48,6582,,,0,,,8.25,[8.25],24,1020.74,8420.27,,,0,,
2023-1-17,2023-1-17,91,22310.31,22310.31,0,2886.78,"扬州,扬州市,江苏省,中国",晴,多云,5,-3,<3级,西风,<3级,西北风,星期二,,,,0,,,,,0,,,7.41,[7.41],10,908.88,6734.72,7.75,[7.75],27,693.28,5372.05,7.75,[7.75],38,785.04,6082.77,,,0,,,8.25,[8.25],16,499.58,4120.77,,,0,,
2023-1-18,2023-1-18,113,35018.68,35018.68,0,4656.9,"扬州,扬州市,江苏省,中国",多云,多云,7,-1,3~4级,西北风,<3级,西南风,星期三,,,,0,,,,,0,,,7.24,[7.24],18,1929.08,13966.13,7.59,[7.59],39,1195.39,9071.64,7.59,[7.59],37,799.44,6066.32,,,0,,,8.07,[8.07],19,732.99,5914.59,,,0,,
2023-1-19,2023-1-19,110,25853.62,25853.62,0,3389.53,"扬州,扬州市,江苏省,中国",晴,晴,11,-1,3~4级,西风,<3级,北风,星期四,,,,0,,,,,0,,,7.24,[7.24],8,673.13,4873.28,7.59,[7.59],40,1092.94,8293.79,7.59,[7.59],40,858.56,6514.83,,,0,,,8.07,[8.07],22,764.9,6171.72,,,0,,
2023-1-20,2023-1-20,149,37452.8,37452.8,0,4926.88,"扬州,扬州市,江苏省,中国",晴,多云,8,-1,3~4级,东北风,<3级,东南风,星期五,,,,0,,,,,0,,,7.24,[7.24],11,1027.88,7441.62,7.59,[7.59],55,1668.2,12659.9,7.59,[7.59],59,1349.95,10243.75,,,0,,,8.07,[8.07],24,880.85,7107.53,,,0,,
2023-1-21,2023-1-21,90,20104.52,20104.52,0,2607.27,"扬州,扬州市,江苏省,中国",多云,中雨,10,4,3~4级,东南风,<3级,东北风,星期六,,,,0,,,,,0,,,7.24,[7.24],4,381.12,2759.27,7.59,[7.59],34,766.82,5818.86,7.59,[7.59],29,518.1,3931.37,,,0,,,8.07,[8.07],23,941.23,7595.02,,,0,,
