日期,32801309-进站加油车量（汽油）,32801309-进站加油车量（柴油）,32801309-进站率（汽油）,32801309-进站率（柴油）,32801309-站前车流量（汽油）,32801309-站前车流量（柴油）,32801817-进站加油车量（汽油）,32801817-进站加油车量（柴油）,32801817-进站率（汽油）,32801817-进站率（柴油）,32801817-站前车流量（汽油）,32801817-站前车流量（柴油）,32807333-进站加油车量（汽油）,32807333-进站加油车量（柴油）,32807333-进站率（汽油）,32807333-进站率（柴油）,32807333-站前车流量（汽油）,32807333-站前车流量（柴油）
20230101,161,18,4.5,2.7,3576,668,222,12,9.14,12.12,2430,98,61,5,3.9,2.21,1565,226
20230102,212,37,5.73,4.51,3704,820,241,22,10.14,15.83,2376,139,54,5,3.66,2.12,1475,235
20230103,196,53,4.78,5.1,4099,1038,268,13,10.61,8.18,2524,158,95,20,5.76,6.08,1648,328
20230104,160,46,4.02,4.23,3980,1087,205,7,8.08,4.83,2538,145,82,6,4.96,1.72,1654,347
20230105,183,38,4.31,3.44,4246,1106,214,19,8.17,10.33,2619,183,69,10,3.81,2.82,1808,353
20230106,172,42,3.92,3.91,4385,1075,194,12,7.15,6.98,2712,172,67,12,4,3.65,1675,328
20230107,172,35,3.86,3.59,4458,977,178,16,6.86,10.06,2594,158,81,9,4.66,2.93,1739,307
20230108,186,38,4.33,4.29,4290,886,196,14,7.32,8.92,2679,156,56,7,3.11,2.55,1803,274
20230109,195,50,4.38,4.6,4447,1087,234,14,8.02,8.75,2918,160,75,13,4.19,3.92,1789,332
20230110,211,50,4.61,4.7,4574,1063,256,14,8.83,7.87,2899,178,64,9,3.58,3.11,1789,290
20230111,252,49,5.07,4.58,4966,1069,292,16,8.71,8.38,3354,191,75,4,3.71,1.34,2025,297
20230112,215,48,4.59,4.82,4682,996,244,11,8.19,6.04,2982,181,78,11,4.18,3.82,1866,288
20230113,303,45,4.54,4.01,6668,1121,265,14,7.63,8.14,3470,172,73,10,2.65,3.24,2758,309
20230114,195,33,4.52,4.26,4317,774,237,11,9.68,9.24,2449,120,62,9,3.64,3.93,1702,230
20230115,256,37,5.41,4.7,4730,787,231,10,9.41,8.33,2455,120,71,5,4.37,2.63,1625,189
20230116,205,38,5.04,5.63,4067,676,234,14,8.74,12.17,2677,116,76,3,4.56,1.67,1666,179
20230117,200,34,5.67,7.04,3526,483,249,9,9.48,9.18,2627,98,43,5,2.97,3.29,1449,152
20230118,193,25,5.98,6.36,3225,394,281,9,11.64,13.04,2414,69,46,7,3.14,5.98,1463,118
20230119,186,22,6.73,9.28,2766,237,258,9,10.57,18.75,2441,48,59,2,4.07,2.35,1449,85
20230120,199,4,8.77,3.51,2270,114,280,9,12.9,20.93,2171,42,80,2,6.09,4.26,1314,46
20230121,172,6,12.17,16.22,1413,37,257,3,13.77,15,1866,19,45,0,5.41,0,832,19
20230122,67,1,6.11,4.17,1096,23,102,2,7.05,10.53,1446,19,25,0,3.44,0,726,14
20230123,53,7,3.8,14.58,1395,48,123,3,7.5,17.65,1639,17,31,0,3.63,0,853,19
20230124,88,4,5.22,7.14,1685,56,145,5,7.89,29.41,1837,17,29,3,2.93,13.04,988,23
20230125,91,6,3.94,5.77,2310,104,157,4,7.89,19.05,1990,21,51,1,4.31,5,1183,19
20230126,131,12,1.9,4.35,6909,276,178,3,7.08,7.69,2515,39,58,2,3.78,4.88,1534,41
20230127,156,12,1.07,2.05,14631,587,214,8,5.28,8.89,4049,91,52,5,2.39,6.94,2175,71
20230128,108,5,1.05,0.83,10275,604,205,9,7.26,13.04,2822,69,48,2,2.66,2.17,1805,93
20230129,136,19,3,3.87,4534,490,216,4,7.83,5.26,2760,75,59,3,3.27,2.36,1806,127
20230130,158,11,3.82,2.14,4134,515,189,7,6.94,9.09,2725,77,40,3,2.3,1.85,1743,162
20230131,173,24,3.96,3.7,4366,648,194,11,6.57,11.11,2955,98,40,0,2.34,0,1706,195
20230201,170,22,4.05,3.1,4196,708,236,8,8.19,7.41,2881,108,52,8,2.82,3.36,1843,237
20230202,175,31,4.2,4.13,4171,751,218,13,7.78,10.74,2800,122,61,6,3.45,2.83,1768,212
20230203,236,51,5.14,5.82,4593,876,293,14,9.72,12.39,3013,114,65,8,3.38,3.42,1922,234
20230204,166,30,3.79,4.07,4379,737,218,14,7.39,11.11,2949,125,43,9,2.21,3.64,1945,247
20230205,169,16,4,2.65,4229,604,160,9,5.14,10,3113,91,39,5,2.11,2.81,1849,178
20230206,137,25,3.14,3.39,4366,737,207,11,7.31,9.17,2831,120,54,2,2.99,0.68,1808,291
20230207,167,26,3.63,2.65,4607,980,182,12,6.06,7.74,3003,154,47,6,2.56,1.99,1837,301
20230208,184,37,3.72,3.76,4941,984,192,8,6.19,5.48,3102,147,56,8,2.89,2.75,1940,291
20230209,144,28,3.19,3.1,4516,901,166,13,5.61,9.03,2957,145,79,8,4.28,2.89,1845,278
20230210,210,30,4.2,2.94,5001,1019,206,13,6.37,8.67,3237,151,69,11,3.42,3.37,2019,326
20230211,177,34,3.7,3.87,4783,878,175,8,5.7,5.56,3071,145,42,5,2.14,1.58,1963,317
20230212,158,22,3.52,2.76,4483,797,188,10,6.49,8.33,2897,120,45,8,2.31,2.88,1947,278
20230213,157,24,3.29,2.46,4779,975,203,12,6.75,9.09,3007,131,49,4,2.56,1.23,1913,326
20230214,223,34,4.34,2.99,5138,1139,282,19,8.77,11.11,3213,172,57,4,2.54,0.99,2243,403
20230215,206,40,4.03,3.4,5116,1177,222,20,7.04,10.58,3154,189,46,6,2.14,1.57,2146,382
20230216,200,35,3.95,3.01,5060,1162,180,13,5.89,7.6,3053,172,63,14,3.06,3.79,2057,369
20230217,189,33,3.61,2.84,5228,1162,204,14,6.43,7.95,3173,176,61,17,3.1,4.94,1969,344
20230218,184,30,3.42,2.86,5381,1050,208,8,6.37,5.16,3266,154,52,5,2.34,1.49,2223,336
20230219,206,31,3.83,3.46,5379,896,245,15,7.01,10.79,3493,139,44,3,1.83,1,2409,299
20230220,172,30,3.39,2.6,5082,1154,191,13,5.95,6.88,3212,189,68,9,3.38,2.47,2009,365
20230221,205,36,3.91,2.95,5248,1222,220,8,6.5,4.4,3383,181,36,2,1.63,0.54,2204,371
20230222,189,36,3.6,2.94,5250,1224,176,15,5.81,7.65,3026,197,60,17,2.88,4.44,2081,382
20230223,190,39,3.71,3.32,5116,1173,154,10,5.18,4.76,2972,210,64,4,3.13,1.13,2044,353
20230224,212,35,3.85,2.86,5508,1224,201,16,6.05,8.7,3325,183,58,6,2.71,1.54,2140,390
20230225,221,35,4.1,3.2,5390,1092,228,11,7.04,6.51,3240,170,48,13,2.09,3.13,2301,415
20230226,182,30,3.42,3.05,5319,984,232,6,6.71,4.62,3455,129,48,6,1.93,1.92,2486,313
20230227,165,35,3.07,3.07,5371,1141,235,11,7.23,6.25,3250,176,51,7,2.43,2.07,2100,338
20230228,202,32,3.74,2.63,5408,1218,175,12,5.41,6.38,3237,187,58,9,2.69,2.34,2160,384
20230301,166,38,3.14,3.04,5286,1249,196,14,5.95,7.18,3295,195,57,3,2.53,0.81,2256,372
20230302,184,38,3.47,3.06,5309,1241,192,9,6.25,5.08,3071,178,51,9,2.24,2.23,2281,403
20230303,187,46,3.36,3.78,5568,1218,196,6,6.08,3.28,3225,183,66,9,2.89,2.35,2287,382
20230304,216,46,3.97,4,5446,1150,226,14,7.15,8.86,3159,158,68,11,2.7,2.44,2517,450
20230305,210,20,3.76,1.93,5583,1034,195,11,5.9,7.43,3306,149,65,8,2.29,2.24,2841,357
20230306,225,40,4.03,3.25,5580,1231,173,7,5.51,3.37,3140,208,48,6,2.07,1.42,2322,423
20230307,186,38,3.33,3.15,5582,1206,176,18,5.52,9.05,3186,199,61,4,2.62,0.89,2330,448
20230308,220,43,3.92,3.38,5612,1272,177,9,5.38,4.55,3293,199,49,5,2.12,1.26,2310,398
20230309,205,43,3.79,3.41,5402,1260,207,21,6.65,9.81,3115,214,52,8,2.21,1.9,2358,421
20230310,200,44,3.43,3.42,5831,1287,202,18,5.71,8.61,3540,208,55,8,2.23,1.95,2468,409
20230311,195,45,3.53,4,5518,1125,188,10,5.56,5.75,3381,174,63,5,2.68,1.35,2353,371
20230312,199,26,3.68,2.82,5406,921,196,12,5.75,7.19,3406,168,57,5,2.5,1.62,2279,309
20230313,184,41,3.35,3.34,5485,1227,182,18,5.7,8.7,3190,207,35,7,1.61,1.98,2171,353
20230314,169,28,3.05,2.27,5537,1235,204,14,6.48,7.41,3150,189,56,5,2.47,1.24,2264,403
20230315,205,28,3.73,2.17,5495,1291,176,14,5.53,6.51,3185,214,53,9,2.49,2.44,2127,369
