date,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,305_price,305_price_竞争站点,305_order_cnt,305_refuelLiters,305_amount,其它油品也都列出来305这五个字段
2023-1-1,902538,268544969.5,268544969.5,75.34,35358429.18,"南京,南京市,江苏省,中国",阴,阴,8,5,<3级,东风,<3级,东北风,星期日,元旦,7.54,"[7.21,8.13]",546095,16307411.16,123147634.4,
2023-1-2,1066437,323796828.3,323796828.3,15,42657973.35,"南京,南京市,江苏省,中国",阴,多云,9,0,<3级,北风,<3级,东风,星期一,元旦,7.54,,635905,19102708.45,144261568.3,
2023-1-3,1216502,386938985.1,386938998.8,13.73,51190308.39,"南京,南京市,江苏省,中国",多云,多云,9,0,<3级,东南风,<3级,东风,星期二,平时,7.54,,700728,21199890.56,160083029.5,
2023-1-4,874633,271284119,271284177.6,58.6,35199415.35,"南京,南京市,江苏省,中国",多云,多云,12,3,3~4级,东南风,<3级,东风,星期三,平时,7.74,,499980,14725749.74,114163925.4,
2023-1-5,901227,283022796,283022840.6,44.66,36791330.48,"南京,南京市,江苏省,中国",多云,多云,13,2,<3级,南风,<3级,西风,星期四,平时,7.74,,514479,15118148.18,117201013.4,
2023-1-6,1154679,355309546.9,355309623.6,76.65,45997139.16,"南京,南京市,江苏省,中国",晴,晴,14,1,3~4级,西风,<3级,西风,星期五,平时,7.74,,664992,19589916.68,151802322.6,
2023-1-7,1426030,422864378.1,422864509.5,131.37,54609389.5,"南京,南京市,江苏省,中国",晴,晴,16,3,3~4级,西南风,<3级,东南风,星期六,平时,7.74,,848516,24628165.2,190866135.6,
2023-1-8,996354,303850021.4,303850117.7,96.3,39507559.53,"南京,南京市,江苏省,中国",晴,晴,19,4,3~4级,南风,<3级,北风,星期日,平时,7.74,,581862,16993744.51,131725473.1,
2023-1-9,1068087,332675995.9,332676141.1,145.22,42872574.42,"南京,南京市,江苏省,中国",晴,多云,16,2,3~4级,北风,<3级,东北风,星期一,平时,7.74,,614400,18331962.96,142115278,
2023-1-10,1133381,351609569.4,351609675.1,105.74,45333761.36,"南京,南京市,江苏省,中国",多云,多云,12,3,3~4级,东南风,3~4级,东风,星期二,平时,7.74,,657425,19708566.56,152768490.1,
2023-1-11,1181269,363007545.6,363007743.3,197.7,46931182.11,"南京,南京市,江苏省,中国",多云,多云,16,9,3~4级,东风,<3级,东南风,星期三,平时,7.74,,687191,20612063.84,159788091.9,
2023-1-12,1156945,355137082.9,355137301.1,218.18,45907439.24,"南京,南京市,江苏省,中国",阵雨,小雨,16,11,3~4级,东南风,<3级,西风,星期四,平时,7.74,,675754,20403290.33,158163853.4,
2023-1-13,1567200,457451157,457451390,233.07,59197911.17,"南京,南京市,江苏省,中国",小雨,中雨,18,7,3~4级,东风,4~5级,东北风,星期五,平时,7.74,,946450,28327241.05,219538371.3,
2023-1-14,1257478,374612525.7,374612839.4,313.74,48326298.39,"南京,南京市,江苏省,中国",雨夹雪,小雪,7,-2,4~5级,北风,4~5级,北风,星期六,平时,7.74,,753525,23108234.63,179152242.8,
