date,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,code_day,text_night,code_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays
2023-1-1,893054,264154248.5,264154248.5,75.34,34773116.07,"南京,南京市,江苏省,中国",阴,2,阴,2,8,5,<3级,东风,<3级,东北风,星期日,元旦
2023-1-2,1042898,313342671.6,313342671.6,15,41263227.57,"南京,南京市,江苏省,中国",阴,2,多云,1,9,0,<3级,北风,<3级,东风,星期一,元旦
2023-1-3,1174827,366979346.9,366979346.9,0,48498691.37,"南京,南京市,江苏省,中国",多云,1,多云,1,9,0,<3级,东南风,<3级,东风,星期二,平时
2023-1-4,863885,266000333.6,266000333.6,0,34507478.72,"南京,南京市,江苏省,中国",多云,1,多云,1,12,3,3~4级,东南风,<3级,东风,星期三,平时
2023-1-5,885530,276122514.9,276122514.9,0,35876191.76,"南京,南京市,江苏省,中国",多云,1,多云,1,13,2,<3级,南风,<3级,西风,星期四,平时
2023-1-6,1128352,343316550.9,343316550.9,0,44377123.72,"南京,南京市,江苏省,中国",晴,0,晴,0,14,1,3~4级,西风,<3级,西风,星期五,平时
2023-1-7,1401942,411677232.7,411677232.7,0,52985700.66,"南京,南京市,江苏省,中国",晴,0,晴,0,16,3,3~4级,西南风,<3级,东南风,星期六,平时
2023-1-8,976400,294604424.8,294604424.8,0,38290523.28,"南京,南京市,江苏省,中国",晴,0,晴,0,19,4,3~4级,南风,<3级,北风,星期日,平时
2023-1-9,1050938,324428101.5,324428101.5,0,41742538.51,"南京,南京市,江苏省,中国",晴,0,多云,1,16,2,3~4级,北风,<3级,东北风,星期一,平时
2023-1-10,1106610,339684041.3,339684041.3,0,43677937.01,"南京,南京市,江苏省,中国",多云,1,多云,1,12,3,3~4级,东南风,3~4级,东风,星期二,平时
2023-1-11,1141618,345378925.6,345378925.6,0,44569855.42,"南京,南京市,江苏省,中国",多云,1,多云,1,16,9,3~4级,东风,<3级,东南风,星期三,平时
2023-1-12,1115277,336824244.7,336824244.7,0,43469830.41,"南京,南京市,江苏省,中国",阵雨,3,小雨,7,16,11,3~4级,东南风,<3级,西风,星期四,平时
2023-1-13,1528842,441316292,441316292,0,56827763.77,"南京,南京市,江苏省,中国",小雨,7,中雨,8,18,7,3~4级,东风,4~5级,东北风,星期五,平时
2023-1-14,1230382,363421356.6,363421356.6,0,46858704.68,"南京,南京市,江苏省,中国",雨夹雪,6,小雪,14,7,-2,4~5级,北风,4~5级,北风,星期六,平时
2023-1-15,1262834,365067472.4,365067472.4,0,47564239.22,"南京,南京市,江苏省,中国",阴,2,多云,1,0,-5,3~4级,北风,<3级,西北风,星期日,平时
2023-1-16,1318892,378840662,378840662,0,48364044.78,"南京,南京市,江苏省,中国",晴,0,多云,1,2,-3,<3级,西北风,<3级,南风,星期一,平时
2023-1-17,1281469,360766558.4,360766558.4,0,46205739.22,"南京,南京市,江苏省,中国",晴,0,晴,0,5,-3,3~4级,西北风,<3级,西风,星期二,平时
2023-1-18,1475311,425025853.6,425025853.6,0,55208264.45,"南京,南京市,江苏省,中国",晴,0,多云,1,8,-1,<3级,西北风,<3级,南风,星期三,平时
2023-1-19,1387238,388634109,388634109,0,50466784.15,"南京,南京市,江苏省,中国",晴,0,晴,0,11,-1,<3级,东南风,<3级,北风,星期四,平时
2023-1-20,1486227,407686367.6,407686367.6,0,53304551.46,"南京,南京市,江苏省,中国",晴,0,多云,1,8,0,3~4级,北风,4~5级,东北风,星期五,平时
2023-1-21,1418964,376327977.8,376327977.8,0,48435282.71,"南京,南京市,江苏省,中国",多云,1,小雨,7,10,5,3~4级,东南风,3~4级,东风,星期六,春节
2023-1-22,534310,144703713.2,144703713.2,0,18647322.18,"南京,南京市,江苏省,中国",阴,2,阴,2,8,3,3~4级,北风,3~4级,北风,星期日,春节
