date,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,code_day,text_night,code_night,high,low,wc_day,wd_day,wc_night,encoded_wc_night,wd_night,week,code_week,holidays,code_holidays,encoded_holidays,305_price,encoded_305_price,encode_label_305price,encode_weight_305price,305_order_cnt,305_amount,305_discountAmount,305_refuelLiters,313_price,encoded_313_price,313_order_cnt,313_amount,313_discountAmount,313_refuelLiters
2023-1-1,902538,268544969.5,268544969.5,75.34,35358429.18,"南京,南京市,江苏省,中国",阴,2,阴,2,8,5,<3级,东风,<3级,0,东北风,星期日,7,元旦,0,1,7.54,0,无价格变动,0,546095,123147634.4,10.2,16307411.16,8.03,0,255916,79825818.64,65.14,9925298.38
2023-1-2,1066437,323796828.3,323796828.3,15,42657973.35,"南京,南京市,江苏省,中国",阴,2,多云,1,9,0,<3级,北风,<3级,0,东风,星期一,1,元旦,0,1,7.54,0,涨价前两天,-1,635905,144261568.3,0,19102708.45,8.03,0,303381,94728669.56,15,11776936.82
2023-1-3,1216502,386938985.1,386938998.8,13.73,51190308.39,"南京,南京市,江苏省,中国",多云,1,多云,1,9,0,<3级,东南风,<3级,0,东风,星期二,2,平时,1,4,7.54,0,涨价前一天,-2,700728,160083029.5,4.73,21199890.56,8.03,0,347014,109184015.6,0,13575378.52
2023-1-4,874633,271284119,271284177.6,58.6,35199415.35,"南京,南京市,江苏省,中国",多云,1,多云,1,12,3,3~4级,东南风,<3级,0,东风,星期三,3,平时,1,4,7.74,2,涨价当天,2,499980,114163925.4,31.6,14725749.74,8.24,2.1,243553,80152154.5,27,9711200.43
2023-1-5,901227,283022796,283022840.6,44.66,36791330.48,"南京,南京市,江苏省,中国",多云,1,多云,1,13,2,<3级,南风,<3级,0,西风,星期四,4,平时,1,4,7.74,0,涨价第二天,1.5,514479,117201013.4,20.49,15118148.18,8.24,0,247170,81304114.14,24.17,9851817.63
2023-1-6,1154679,355309546.9,355309623.6,76.65,45997139.16,"南京,南京市,江苏省,中国",晴,0,晴,0,14,1,3~4级,西风,<3级,0,西风,星期五,5,平时,1,4,7.74,0,涨价第三天,1.125,664992,151802322.6,40.7,19589916.68,8.24,0,328650,107643312.9,26.95,13045579.48
2023-1-7,1426030,422864378.1,422864509.5,131.37,54609389.5,"南京,南京市,江苏省,中国",晴,0,晴,0,16,3,3~4级,西南风,<3级,0,东南风,星期六,6,平时,1,4,7.74,0,涨价第四天,0.84375,848516,190866135.6,32.37,24628165.2,8.24,0,395688,127682556,99,15472553.89
2023-1-8,996354,303850021.4,303850117.7,96.3,39507559.53,"南京,南京市,江苏省,中国",晴,0,晴,0,19,4,3~4级,南风,<3级,0,北风,星期日,7,平时,1,4,7.74,0,无价格变动,0,581862,131725473.1,43.36,16993744.51,8.24,0,285639,92507482.43,52.94,11210230.24
2023-1-9,1068087,332675995.9,332676141.1,145.22,42872574.42,"南京,南京市,江苏省,中国",晴,0,多云,1,16,2,3~4级,北风,<3级,0,东北风,星期一,1,平时,1,4,7.74,0,无价格变动,0,614400,142115278,65.19,18331962.96,8.24,0,304722,100931386.9,80.03,12230364.79
2023-1-10,1133381,351609569.4,351609675.1,105.74,45333761.36,"南京,南京市,江苏省,中国",多云,1,多云,1,12,3,3~4级,东南风,3~4级,1,东风,星期二,2,平时,1,4,7.74,0,无价格变动,0,657425,152768490.1,56.81,19708566.56,8.24,0,322878,106981147.1,39.93,12962196.88
