"date","oil_no","price","order_cnt","amount","pay_amount","discountAmount","refuelLiters"
"2023-01-01","60000288",1.00,110,80086.16,80086.16,0.00,80086.16
"2023-01-01","60000291",1.00,20,7840.00,7840.00,0.00,7840.00
"2023-01-01","60000292",2.49,1030,58792.54,58792.54,0.00,23757.67
"2023-01-01","60000304",7.55,1700,351276.86,351276.86,0.00,46535.73
"2023-01-01","60000305",7.54,541961,122075966.99,122075966.99,10.20,16165706.09
"2023-01-01","60000312",8.04,96,29195.64,29195.64,0.00,3631.68
"2023-01-01","60000313",8.03,252893,78747241.93,78747241.93,65.14,9791170.42
"2023-01-01","60000317",9.01,10076,3731660.59,3731660.59,0.00,413551.48
"2023-01-01","60000359",7.19,74209,49653694.56,49653694.56,0.00,6904458.24
"2023-01-01","60000361",7.62,1000,458672.36,458672.36,0.00,60244.57
"2023-01-01","60033428",7.04,7082,7791057.50,7791057.50,0.00,1112599.21
"2023-01-01","60170825",6.40,1897,150473.45,150473.45,0.00,24031.89
"2023-01-01","60199053",7.87,973,1017244.92,1017244.92,0.00,139368.29
"2023-01-01","62050661",2.50,6,305.79,305.79,0.00,122.32
"2023-01-01","90325752",60.00,1,739.20,739.20,0.00,12.32
"2023-01-02","60000288",1.00,114,46423.50,46423.50,0.00,46423.50
"2023-01-02","60000292",2.50,2594,135323.27,135323.27,0.00,54466.50
"2023-01-02","60000304",7.55,2257,483353.62,483353.62,0.00,64002.27
"2023-01-02","60000305",7.54,625570,141590932.43,141590932.43,0.00,18749390.52
"2023-01-02","60000312",8.04,133,41145.99,41145.99,0.00,5118.10
"2023-01-02","60000313",8.03,295868,92097903.64,92097903.64,15.00,11450043.48
"2023-01-02","60000317",9.01,10663,4058705.96,4058705.96,0.00,449741.73
"2023-01-02","60000359",7.19,93331,64309614.31,64309614.31,0.00,8939382.13
"2023-01-02","60000361",7.62,1099,509303.19,509303.19,0.00,66931.71
"2023-01-02","60033428",7.04,8117,8923559.15,8923559.15,0.00,1277426.24
"2023-01-02","60170825",6.28,2117,157903.16,157903.16,0.00,25737.58
"2023-01-02","60199053",7.82,1022,986857.26,986857.26,0.00,134395.02
"2023-01-02","62050661",2.50,11,368.73,368.73,0.00,147.50
"2023-01-02","90325752",60.00,2,1277.40,1277.40,0.00,21.29
"2023-01-03","60000288",1.00,157,147468.75,147468.75,0.00,147468.75
"2023-01-03","60000292",2.50,3368,174394.76,174394.76,0.00,70165.13
"2023-01-03","60000304",7.54,2366,500457.58,500457.58,0.00,66276.41
"2023-01-03","60000305",7.54,682866,155438095.21,155438095.21,0.00,20585053.35
"2023-01-03","60000312",8.04,153,45130.53,45130.53,0.00,5613.67
"2023-01-03","60000313",8.03,334939,105007378.09,105007378.09,0.00,13055863.29
"2023-01-03","60000317",9.01,13517,5099866.05,5099866.05,0.00,565089.40
"2023-01-03","60000359",7.19,123197,88081932.90,88081932.90,0.00,12241830.52
"2023-01-03","60000361",7.62,1324,611358.79,611358.79,0.00,80150.68
"2023-01-03","60033428",7.07,9655,10731866.65,10731866.65,0.00,1522329.02
"2023-01-03","60170825",6.20,2282,170926.38,170926.38,0.00,28171.33
"2023-01-03","60199053",7.88,992,969709.35,969709.35,0.00,130484.79
"2023-01-03","62050661",2.50,10,475.64,475.64,0.00,190.26
"2023-01-03","90325752",60.00,1,286.20,286.20,0.00,4.77
"2023-01-04","60000288",1.00,232,483279.48,483279.48,0.00,483279.48
"2023-01-04","60000292",2.50,2922,162258.54,162258.54,0.00,64840.14
"2023-01-04","60000304",7.75,1564,322977.82,322977.82,0.00,41654.67
"2023-01-04","60000305",7.74,495597,112957751.71,112957751.71,0.00,14570293.76
"2023-01-04","60000312",8.25,82,27474.46,27474.46,0.00,3330.49
"2023-01-04","60000313",8.24,240831,79132262.71,79132262.71,0.00,9587911.05
"2023-01-04","60000317",9.22,11072,4376464.46,4376464.46,0.00,473920.48
"2023-01-04","60000359",7.40,98909,59042056.97,59042056.97,0.00,7974202.04
"2023-01-04","60000361",7.85,1134,507391.80,507391.80,0.00,64638.49
"2023-01-04","60033428",7.27,8155,7678811.16,7678811.16,0.00,1060507.52
"2023-01-04","60078231",7.41,6,10934.37,10934.37,0.00,1475.64
"2023-01-04","60170825",6.34,2278,168685.62,168685.62,0.00,27204.53
"2023-01-04","60199053",7.85,1091,1129407.52,1129407.52,0.00,153989.64
"2023-01-04","62050661",2.50,12,576.96,576.96,0.00,230.79
"2023-01-05","60000288",1.00,522,497508.70,497508.70,0.00,497508.70
"2023-01-05","60000292",2.50,3257,174445.69,174445.69,0.00,69761.05
"2023-01-05","60000304",7.75,1582,337535.66,337535.66,0.00,43558.26
"2023-01-05","60000305",7.74,507572,115305660.53,115305660.53,0.00,14873874.31
"2023-01-05","60000312",8.25,73,22684.53,22684.53,0.00,2749.93
"2023-01-05","60000313",8.24,242595,79578972.45,79578972.45,0.00,9642944.93
"2023-01-05","60000317",9.22,10960,4438061.18,4438061.18,0.00,480685.64
"2023-01-05","60000359",7.40,105345,65123139.50,65123139.50,0.00,8793636.08
