"date","oil_no","price","order_cnt","amount","pay_amount","discountAmount","refuelLiters"
"2023-01-01","60000288",1.00,112,80137.77,80137.77,0.00,80137.77
"2023-01-01","60000291",1.00,20,7840.00,7840.00,0.00,7840.00
"2023-01-01","60000292",2.49,1096,62249.91,62249.91,0.00,25140.68
"2023-01-01","60000304",7.55,1871,395131.35,395131.35,0.00,52337.17
"2023-01-01","60000305",7.54,546095,123147634.36,123147634.36,10.20,16307411.16
"2023-01-01","60000312",8.04,107,32561.63,32561.63,0.00,4050.35
"2023-01-01","60000313",8.03,255916,79825818.64,79825818.64,65.14,9925298.38
"2023-01-01","60000317",9.01,10253,3804743.19,3804743.19,0.00,421653.98
"2023-01-01","60000359",7.19,75911,51561997.68,51561997.68,0.00,7168740.12
"2023-01-01","60000361",7.62,1005,461493.72,461493.72,0.00,60613.89
"2023-01-01","60033428",7.05,7205,7990091.48,7990091.48,0.00,1140524.23
"2023-01-01","60170825",6.37,1965,155919.94,155919.94,0.00,25039.38
"2023-01-01","60199053",7.87,974,1018238.88,1018238.88,0.00,139478.73
"2023-01-01","62050661",2.47,7,371.79,371.79,0.00,151.02
"2023-01-01","90325752",60.00,1,739.20,739.20,0.00,12.32
"2023-01-02","60000288",1.00,119,47607.10,47607.10,0.00,47607.10
"2023-01-02","60000292",2.50,2680,140111.72,140111.72,0.00,56381.96
"2023-01-02","60000304",7.55,2280,488294.50,488294.50,0.00,64656.73
"2023-01-02","60000305",7.54,635905,144261568.34,144261568.34,0.00,19102708.45
"2023-01-02","60000312",8.04,151,47075.06,47075.06,0.00,5855.55
"2023-01-02","60000313",8.03,303381,94728669.56,94728669.56,15.00,11776936.82
"2023-01-02","60000317",9.01,11080,4231592.67,4231592.67,0.00,468875.98
"2023-01-02","60000359",7.19,98035,68779070.75,68779070.75,0.00,9561123.66
"2023-01-02","60000361",7.62,1135,529009.98,529009.98,0.00,69511.17
"2023-01-02","60033428",7.04,8377,9327129.19,9327129.19,0.00,1333383.90
"2023-01-02","60170825",6.25,2226,167416.14,167416.14,0.00,27391.02
"2023-01-02","60199053",7.79,1055,1047637.18,1047637.18,0.00,143372.22
"2023-01-02","62050661",2.50,11,368.73,368.73,0.00,147.50
"2023-01-02","90325752",60.00,2,1277.40,1277.40,0.00,21.29
"2023-01-03","60000288",1.00,169,155993.75,155993.75,0.00,155993.75
"2023-01-03","60000292",2.50,3589,184785.75,184785.75,0.00,74321.74
"2023-01-03","60000304",7.54,2423,514557.28,514557.28,0.00,68144.09
"2023-01-03","60000305",7.54,700728,160083029.48,160083034.21,4.73,21199890.56
"2023-01-03","60000312",8.04,172,52872.89,52872.89,0.00,6576.68
"2023-01-03","60000313",8.03,347014,109184015.57,109184015.57,0.00,13575378.52
"2023-01-03","60000317",9.01,14457,5483505.61,5483514.61,9.00,607623.71
"2023-01-03","60000359",7.19,132436,96889764.88,96889764.88,0.00,13466161.58
"2023-01-03","60000361",7.62,1433,697173.19,697173.19,0.00,91383.15
"2023-01-03","60033428",7.06,10699,12446264.08,12446264.08,0.00,1770558.02
"2023-01-03","60170825",6.20,2283,171005.77,171005.77,0.00,28185.87
"2023-01-03","60199053",7.79,1088,1075255.01,1075255.01,0.00,145895.69
"2023-01-03","62050661",2.50,10,475.64,475.64,0.00,190.26
"2023-01-03","90325752",60.00,1,286.20,286.20,0.00,4.77
"2023-01-04","60000288",1.00,232,483279.48,483279.48,0.00,483279.48
"2023-01-04","60000292",2.50,3070,169362.44,169362.44,0.00,67681.86
"2023-01-04","60000304",7.75,1581,327452.64,327452.64,0.00,42232.08
"2023-01-04","60000305",7.74,499980,114163925.43,114163957.03,31.60,14725749.74
"2023-01-04","60000312",8.25,82,27474.46,27474.46,0.00,3330.49
"2023-01-04","60000313",8.24,243553,80152154.50,80152181.50,27.00,9711200.43
"2023-01-04","60000317",9.22,11297,4475595.81,4475595.81,0.00,484661.03
"2023-01-04","60000359",7.40,101906,61650316.89,61650316.89,0.00,8325983.65
"2023-01-04","60000361",7.85,1162,528847.43,528847.43,0.00,67371.74
