"date","city","order_cnt","amount","pay_amount","discountAmount","refuelLiters"
"2023-01-01",中石化壳牌合资公司,86125,25426446.48,25426446.48,10.20,3319221.76
"2023-01-01",南京分公司,113662,33529024.82,33529024.82,0.00,4432483.93
"2023-01-01",南通分公司,75295,22437948.92,22437948.92,0.00,2939060.24
"2023-01-01",宿迁分公司,37890,10821999.15,10821999.15,0.00,1430174.59
"2023-01-01",常州分公司,64505,19530640.33,19530640.33,0.00,2573776.31
"2023-01-01",徐州分公司,59428,16365687.38,16365687.38,65.14,2161094.14
"2023-01-01",扬州分公司,42782,12130042.45,12130042.45,0.00,1595588.06
"2023-01-01",无锡分公司,50181,15128089.60,15128089.60,0.00,1991817.78
"2023-01-01",江阴分公司,19085,6398862.47,6398862.47,0.00,844127.42
"2023-01-01",泰州分公司,45201,12858428.88,12858428.88,0.00,1693105.31
"2023-01-01",淮安分公司,35711,10576260.42,10576260.42,0.00,1401795.35
"2023-01-01",盐城分公司,40561,12110854.49,12110854.49,0.00,1590449.84
"2023-01-01",苏州分公司,92740,27734355.96,27734355.96,0.00,3640666.09
"2023-01-01",连云港分公司,32532,8881735.17,8881735.17,0.00,1174706.89
"2023-01-01",镇江分公司,30456,8434156.91,8434156.91,0.00,1110695.23
"2023-01-01",高速石油公司,60842,20001993.14,20001993.14,0.00,2638793.87
"2023-01-01",,6058,1787721.92,1787721.92,0.00,235559.26
"2023-01-02",中石化壳牌合资公司,101024,30652255.12,30652255.12,0.00,4008813.38
"2023-01-02",南京分公司,133268,39287351.76,39287351.76,0.00,5148065.29
"2023-01-02",南通分公司,91525,26849805.54,26849805.54,0.00,3524221.44
"2023-01-02",宿迁分公司,43377,12299358.86,12299358.86,0.00,1623897.00
"2023-01-02",常州分公司,74367,23367532.20,23367532.20,0.00,3088643.83
"2023-01-02",徐州分公司,63873,17764372.75,17764372.75,15.00,2347302.95
"2023-01-02",扬州分公司,50086,14493128.04,14493128.04,0.00,1919076.20
"2023-01-02",无锡分公司,60660,18775981.87,18775981.87,0.00,2471506.22
"2023-01-02",江阴分公司,23334,8247527.24,8247527.24,0.00,1093703.95
"2023-01-02",泰州分公司,55816,16381420.59,16381420.59,0.00,2159980.49
"2023-01-02",淮安分公司,42358,12734438.02,12734438.02,0.00,1689347.24
"2023-01-02",盐城分公司,47830,14436796.02,14436796.02,0.00,1899264.10
"2023-01-02",苏州分公司,111671,34590924.56,34590924.56,0.00,4559108.01
"2023-01-02",连云港分公司,36039,9675220.07,9675220.07,0.00,1277307.64
"2023-01-02",镇江分公司,39062,11744164.25,11744164.25,0.00,1552531.96
"2023-01-02",高速石油公司,61827,19950090.72,19950090.72,0.00,2623316.47
"2023-01-02",,6781,2092304.00,2092304.00,0.00,277141.40
"2023-01-03",中石化壳牌合资公司,118168,37286574.51,37286574.51,0.00,4885569.48
"2023-01-03",南京分公司,152947,47001817.99,47001817.99,0.00,6168786.67
"2023-01-03",南通分公司,102709,30668936.45,30668936.45,0.00,4034133.76
"2023-01-03",宿迁分公司,44947,12369582.48,12369582.48,0.00,1624431.29
"2023-01-03",常州分公司,86281,28582903.52,28582903.52,0.00,3820124.04
"2023-01-03",徐州分公司,71578,20511192.00,20511192.00,0.00,2706897.18
"2023-01-03",扬州分公司,55335,16634110.76,16634110.76,0.00,2197762.64
"2023-01-03",无锡分公司,78194,25981970.00,25981970.00,0.00,3433163.45
"2023-01-03",江阴分公司,26027,9619226.31,9619226.31,0.00,1278673.70
"2023-01-03",泰州分公司,62986,18978658.84,18978658.84,0.00,2505115.53
"2023-01-03",淮安分公司,44857,13336953.62,13336953.62,0.00,1764142.20
"2023-01-03",盐城分公司,51370,15788692.43,15788692.43,0.00,2077805.03
"2023-01-03",苏州分公司,129522,41609573.95,41609573.95,0.00,5494587.86
"2023-01-03",连云港分公司,39760,10562134.50,10562134.50,0.00,1459446.46
"2023-01-03",镇江分公司,44082,14455982.94,14455982.94,0.00,1921135.81
"2023-01-03",高速石油公司,59005,21269638.64,21269638.64,0.00,2817773.83
"2023-01-03",,7059,2321397.94,2321397.94,0.00,309142.44
