date,city,order_cnt,amount,pay_amount,discountAmount,refuelLiters
2023-1-1,中石化壳牌合资公司,87942,26138584.63,26138584.63,10.2,3412969.15
2023-1-1,南京分公司,113739,33582530.01,33582530.01,0,4439813.71
2023-1-1,南通分公司,75343,22469877.71,22469877.71,0,2943106.78
2023-1-1,宿迁分公司,38025,10890599.86,10890599.86,0,1439538.51
2023-1-1,常州分公司,65040,19791155.95,19791155.95,0,2608775.96
2023-1-1,徐州分公司,59602,16438073.76,16438073.76,65.14,2170796.98
2023-1-1,扬州分公司,42952,12251769.4,12251769.4,0,1612311.06
2023-1-1,无锡分公司,52949,16248764.18,16248764.18,0,2139867.79
2023-1-1,江阴分公司,19260,6463555.65,6463555.65,0,852651.23
2023-1-1,泰州分公司,45538,13025731.84,13025731.84,0,1715452.31
2023-1-1,淮安分公司,35762,10609556.56,10609556.56,0,1406420.08
2023-1-1,盐城分公司,40656,12163439.5,12163439.5,0,1597560.34
2023-1-1,苏州分公司,93466,28017264.56,28017264.56,0,3678359.76
2023-1-1,连云港分公司,32628,8908671.93,8908671.93,0,1178216.39
2023-1-1,镇江分公司,32668,9677295.08,9677295.08,0,1278022.28
2023-1-1,高速石油公司,60888,20070977,20070977,0,2647701.93
2023-1-1,,6080,1797121.92,1797121.92,0,236864.92
2023-1-2,中石化壳牌合资公司,105973,32680427.68,32680427.68,0,4277884.7
2023-1-2,南京分公司,134726,39930305.29,39930305.29,0,5233801.24
2023-1-2,南通分公司,93080,27561029.01,27561029.01,0,3618819.88
2023-1-2,宿迁分公司,43470,12381998.72,12381998.72,0,1635061.76
2023-1-2,常州分公司,76185,24126455.84,24126455.84,0,3188470.27
2023-1-2,徐州分公司,64924,18210141.34,18210141.34,15,2408183.36
2023-1-2,扬州分公司,50242,14561733.85,14561733.85,0,1928240.78
2023-1-2,无锡分公司,64791,20495239.24,20495239.24,0,2699514.5
2023-1-2,江阴分公司,23335,8247874.41,8247874.41,0,1093703.95
2023-1-2,泰州分公司,56474,16643093.86,16643093.86,0,2194346.07
2023-1-2,淮安分公司,42597,12825142.57,12825142.57,0,1701735.54
2023-1-2,盐城分公司,48112,14616875.24,14616875.24,0,1924161.33
2023-1-2,苏州分公司,116195,36346009.32,36346009.32,0,4791419.89
2023-1-2,连云港分公司,36121,9702136.5,9702136.5,0,1280800.99
